item_1	item_2	item_3	item_4
{'item_ID': 'température|NOUN|FR_50', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'La température est bonne.'}	{'item_ID': 'pilote|NOUN|FR_248', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'Le pilote a fait un atterrissage en douceur malgré le vent fort.'}	{'item_ID': 'restriction|NOUN|FR_812', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'Il y a une restriction sur le nombre de personnes autorisées.'}	{'item_ID': 'tête|NOUN|FR_7', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'Il a une casquette sur la tête.'}
{'item_ID': 'bienfait|NOUN|FR_421', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A2', 'sentence_text': 'Le sport a beaucoup de bienfaits pour la santé.'}	{'item_ID': 'lustre|NOUN|FR_272', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'Le lustre du salon donne une belle lumière.'}	{'item_ID': 'mouche|NOUN|FR_250', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'Je vois une mouche.'}	{'item_ID': 'général|NOUN|FR_98', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Le général a pris la parole devant les troupes.'}
"{'item_ID': 'charme|NOUN|FR_70', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': ""J'aime le charme de cette ville.""}"	{'item_ID': 'exutoire|NOUN|FR_639', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'Le sport est un excellent exutoire pour son stress.'}	"{'item_ID': 'concordance|NOUN|FR_674', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': ""La concordance des témoignages a renforcé la crédibilité de l'enquête.""}"	"{'item_ID': 'perfection|NOUN|FR_464', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': ""Il aspire à la perfection dans tout ce qu'il entreprend.""}"
{'item_ID': 'charme|NOUN|FR_73', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Le charme de ce vieux quartier attire beaucoup de touristes.'}	{'item_ID': 'souche|NOUN|FR_600', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'A1', 'sentence_text': 'Il y a une souche dans le jardin.'}	{'item_ID': 'parade|NOUN|FR_451', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A2', 'sentence_text': 'Il y a une grande parade en ville.'}	{'item_ID': 'confinement|NOUN|FR_863', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'Pendant le confinement, beaucoup de gens ont travaillé depuis chez eux.'}
{'item_ID': 'collaboration|NOUN|FR_293', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'La collaboration entre les équipes a été essentielle pour le succès du projet.'}	{'item_ID': 'fissure|NOUN|FR_442', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'Il y a une petite fissure dans le mur de la cuisine.'}	{'item_ID': 'employé|NOUN|FR_38', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Notre nouvel employé est très motivé.'}	{'item_ID': 'porte|NOUN|FR_2', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'Elle a ouvert la porte du salon.'}
{'item_ID': 'pilote|NOUN|FR_247', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'Mon frère veut devenir pilote.'}	{'item_ID': 'indemnité|NOUN|FR_277', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'Il a reçu une indemnité après la fin de son contrat.'}	"{'item_ID': 'passé|NOUN|FR_30', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': ""J'aime mon passé.""}"	{'item_ID': 'instance|NOUN|FR_237', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'Cette instance est responsable de la gestion des fonds.'}
{'item_ID': 'tête|NOUN|FR_9', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'Il a pris la tête du projet avec une détermination impressionnante.'}	{'item_ID': 'pauvre|NOUN|FR_41', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Il a aidé un pauvre dans la rue.'}	{'item_ID': 'couverture|NOUN|FR_201', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'Il fait froid, prends une couverture.'}	{'item_ID': 'souris|NOUN|FR_215', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'La souris est petite.'}
{'item_ID': 'oreillette|NOUN|FR_894', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'Le garde du corps communiquait discrètement avec son équipe via une oreillette.'}	"{'item_ID': 'annulaire|NOUN|FR_838', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': ""Elle porte sa bague de fiançailles à l'annulaire.""}"	"{'item_ID': 'oreillette|NOUN|FR_892', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': ""J'ai mis mon oreillette pour écouter de la musique.""}"	"{'item_ID': 'souche|NOUN|FR_603', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': ""La souche de l'arbre était couverte de mousse.""}"
"{'item_ID': 'biologie|NOUN|FR_435', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A1', 'sentence_text': ""J'aime la biologie.""}"	"{'item_ID': 'chant|NOUN|FR_61', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': ""J'aime le chant de cette chorale.""}"	{'item_ID': 'validation|NOUN|FR_822', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'Il faut la validation du professeur.'}	"{'item_ID': 'pâture|NOUN|FR_477', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': ""Les vaches mangent de l'herbe dans la pâture.""}"
{'item_ID': 'bourgmestre|NOUN|FR_653', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'Le bourgmestre a annoncé de nouvelles mesures pour la ville.'}	{'item_ID': 'collaboration|NOUN|FR_294', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'Le succès du projet repose sur une étroite collaboration entre tous les départements.'}	{'item_ID': 'passé|NOUN|FR_32', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'Il parle de son passé.'}	"{'item_ID': 'étranger|NOUN|FR_49', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': ""L'étranger, par sa perspective nouvelle, peut souvent apporter un éclairage intéressant sur nos coutumes.""}"
