item_1	item_2	item_3	item_4
"{'item_ID': 'déchiffrer|VERB|FR_578', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': ""J'ai passé du temps à déchiffrer la vieille lettre manuscrite.""}"	{'item_ID': 'élever|VERB|FR_308', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'Il a élevé la voix pour être entendu.'}	{'item_ID': 'alarmer|VERB|FR_724', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'Les nouvelles économiques ont commencé à alarmer les investisseurs.'}	{'item_ID': 'esquisser|VERB|FR_589', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'Il a esquissé les grandes lignes de son projet de recherche.'}
{'item_ID': 'primer|VERB|FR_782', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'La sécurité doit primer sur le coût.'}	{'item_ID': 'réussir|VERB|FR_130', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Je veux réussir mon examen.'}	"{'item_ID': 'imputer|VERB|FR_914', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': ""Il est difficile d'imputer cette décision à un seul facteur.""}"	{'item_ID': 'signaler|VERB|FR_344', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'Les citoyens sont encouragés à signaler tout comportement suspect.'}
"{'item_ID': 'carrer|VERB|FR_558', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': ""Elle s'est carrée dans le fauteuil pour mieux voir le film.""}"	"{'item_ID': 'admettre|VERB|FR_319', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': ""Il a dû admettre qu'il s'était trompé.""}"	"{'item_ID': 'pulvériser|VERB|FR_999', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': ""L'athlète a pulvérisé le record du monde en un temps incroyable.""}"	"{'item_ID': 'côtoyer|VERB|FR_384', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': ""En tant que diplomate, il a eu l'occasion de côtoyer des personnalités politiques du monde entier.""}"
{'item_ID': 'accueillir|VERB|FR_160', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Nous vous accueillons.'}	"{'item_ID': 'évacuer|VERB|FR_543', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': ""Les pompiers ont dû évacuer les habitants de l'immeuble.""}"	{'item_ID': 'accéder|VERB|FR_333', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'Vous pouvez accéder à votre compte client en ligne.'}	"{'item_ID': 'envisager|VERB|FR_507', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': ""J'envisage de changer de travail bientôt.""}"
{'item_ID': 'planer|VERB|FR_757', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'Les oiseaux planent souvent au-dessus de ma maison.'}	"{'item_ID': 'planer|VERB|FR_758', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': ""L'aigle planait sans effort au-dessus de la vallée.""}"	"{'item_ID': 'blesser|VERB|FR_172', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': ""Le joueur s'est blessé pendant le match.""}"	{'item_ID': 'déployer|VERB|FR_927', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'Les enfants vont déployer la carte sur la table.'}
{'item_ID': 'blesser|VERB|FR_174', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'La nouvelle de son départ a profondément blessé ses collègues.'}	"{'item_ID': 'rassurer|VERB|FR_191', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': ""Mes parents me rassurent quand j'ai peur.""}"	{'item_ID': 'ravager|VERB|FR_712', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'La tempête a ravagé plusieurs villages de la côte.'}	{'item_ID': 'diriger|VERB|FR_142', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'Mon père dirige une petite entreprise.'}
{'item_ID': 'engoncer|VERB|FR_778', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'Il se sentait engoncé dans cette chemise trop petite.'}	{'item_ID': 'dénaturer|VERB|FR_774', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'Le politicien a été critiqué pour avoir dénaturé la vérité lors de son discours.'}	"{'item_ID': 'rabattre|VERB|FR_768', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': ""S'il ne trouve pas de taxi, il devra se rabattre sur le bus.""}"	{'item_ID': 'échouer|VERB|FR_522', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'Il a échoué à son examen de conduite.'}
{'item_ID': 'rallonger|VERB|FR_702', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'On peut rallonger ce câble pour atteindre la prise.'}	{'item_ID': 'analyser|VERB|FR_196', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Il faut analyser la situation.'}	{'item_ID': 'recharger|VERB|FR_568', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'Je dois recharger mon téléphone, la batterie est presque vide.'}	"{'item_ID': 'nier|VERB|FR_513', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': ""Il nie toute responsabilité dans l'incident.""}"
{'item_ID': 'ravir|VERB|FR_354', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'La nouvelle de son retour a ravi tout le monde.'}	{'item_ID': 'diriger|VERB|FR_141', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Il dirige la réunion.'}	{'item_ID': 'découler|VERB|FR_539', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'La décision finale va découler de nos discussions.'}	"{'item_ID': 'entendre|VERB|FR_104', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': ""Le gouvernement n'entend pas céder aux pressions des syndicats.""}"
"{'item_ID': 'réussir|VERB|FR_131', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': ""J'espère réussir mon examen.""}"	{'item_ID': 'rallonger|VERB|FR_704', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'Le comité a voté pour rallonger le délai de soumission des propositions.'}	{'item_ID': 'contribuer|VERB|FR_302', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'Tout le monde peut contribuer à la réussite du projet.'}	"{'item_ID': 'élever|VERB|FR_307', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': ""Ils élèvent leurs enfants avec beaucoup d'amour.""}"
