item_1	item_2	item_3	item_4
{'item_ID': 'asignar|VERB|ES_548', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'La profesora nos asignó un ensayo para la próxima semana.'}	{'item_ID': 'referencia|NOUN|ES_404', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'Su disertación se ha convertido en la referencia principal para futuros estudios en el área.'}	{'item_ID': 'distribuir|VERB|ES_367', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'La tienda distribuye sus productos en varias ciudades.'}	{'item_ID': 'servir|VERB|ES_120', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Él sirve el café.'}
{'item_ID': 'cinturón|NOUN|ES_245', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'El cinturón es grande.'}	{'item_ID': 'tocar|VERB|ES_136', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Él toca el piano.'}	{'item_ID': 'enriquecer|VERB|ES_588', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'Viajar puede enriquecer tu vida.'}	{'item_ID': 'depurar|VERB|ES_724', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'Es fundamental depurar los datos para obtener resultados fiables.'}
{'item_ID': 'consola|NOUN|ES_278', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'Compramos una consola nueva para jugar a los videojuegos.'}	{'item_ID': 'entrometer|VERB|ES_973', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'No me gusta cuando la gente se entromete en mi vida personal.'}	{'item_ID': 'anoréxico|NOUN|ES_463', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'El anoréxico necesita apoyo profesional para superar su enfermedad.'}	{'item_ID': 'volcán|NOUN|ES_65', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'El volcán es grande.'}
{'item_ID': 'alterar|VERB|ES_539', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'El ruido constante de la construcción puede alterar la tranquilidad de los vecinos.'}	{'item_ID': 'broncear|VERB|ES_775', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'A1', 'sentence_text': 'Ella se broncea en la playa.'}	{'item_ID': 'luz|NOUN|ES_15', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'La luz es blanca.'}	{'item_ID': 'construir|VERB|ES_140', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Vamos a construir una casa.'}
{'item_ID': 'mencionar|VERB|ES_317', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'Ella mencionó que la reunión era a las diez.'}	{'item_ID': 'principiar|VERB|ES_754', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'La obra principia con un monólogo emotivo.'}	{'item_ID': 'desistir|VERB|ES_963', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'Decidió desistir de su intento después de varios fracasos.'}	{'item_ID': 'espiritualidad|NOUN|ES_668', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'La espiritualidad puede significar algo diferente para cada persona.'}
{'item_ID': 'azar|NOUN|ES_261', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'El resultado fue puro azar.'}	{'item_ID': 'duende|NOUN|ES_653', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'El niño creía en los duendes del bosque.'}	{'item_ID': 'atrasar|VERB|ES_590', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A1', 'sentence_text': 'Mi reloj atrasa.'}	{'item_ID': 'marisco|NOUN|ES_85', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Me gusta el marisco.'}
{'item_ID': 'cuajar|VERB|ES_789', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'Su propuesta finalmente logró cuajar en la reunión de la junta directiva.'}	{'item_ID': 'atemorizar|VERB|ES_943', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'La tormenta fuerte logró atemorizar a los niños.'}	{'item_ID': 'distraer|VERB|ES_398', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'El ruido del tráfico puede distraerme cuando intento leer.'}	{'item_ID': 'acostumbrar|VERB|ES_187', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'Me estoy acostumbrando a la comida picante.'}
{'item_ID': 'barajar|VERB|ES_904', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'La empresa está barajando varias estrategias para expandirse en el mercado.'}	{'item_ID': 'desierto|NOUN|ES_63', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Cruzamos el desierto en coche para llegar al otro lado.'}	{'item_ID': 'inmovilizar|VERB|ES_982', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'El médico tuvo que inmovilizar su pierna.'}	{'item_ID': 'tontería|NOUN|ES_81', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'No digas tonterías.'}
{'item_ID': 'reino|NOUN|ES_213', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'El rey gobernó el reino con justicia y sabiduría.'}	{'item_ID': 'propagar|VERB|ES_733', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'Es importante evitar que el fuego se propague.'}	{'item_ID': 'gritar|VERB|ES_177', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'El niño empezó a gritar de alegría.'}	{'item_ID': 'marisco|NOUN|ES_89', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'Prepararon una paella de marisco para la cena.'}
{'item_ID': 'grana|NOUN|ES_879', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'Los antiguos tapices mostraban un profundo color de grana.'}	{'item_ID': 'objetivo|NOUN|ES_22', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'Mi objetivo es terminar este libro antes del domingo.'}	{'item_ID': 'elegir|VERB|ES_131', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Tenemos que elegir un día.'}	{'item_ID': 'rumbo|NOUN|ES_284', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'La empresa ha tomado un nuevo rumbo estratégico para expandirse.'}
{'item_ID': 'injuria|NOUN|ES_809', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'La injuria publicada en el periódico causó un gran escándalo.'}	{'item_ID': 'recapitular|VERB|ES_994', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'Antes de concluir, me gustaría recapitular los puntos clave de nuestra discusión.'}	{'item_ID': 'humano|NOUN|ES_236', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'Todo humano necesita dormir.'}	{'item_ID': 'represión|NOUN|ES_298', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'Hubo represión en las protestas de ayer.'}
{'item_ID': 'cuajar|VERB|ES_786', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'A2', 'sentence_text': 'La leche se cuajó.'}	{'item_ID': 'exclusión|NOUN|ES_448', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'La exclusión social afecta a muchas personas en esta ciudad.'}	{'item_ID': 'necesitar|VERB|ES_117', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'Necesitas estudiar para el examen de mañana.'}	{'item_ID': 'calibrar|VERB|ES_947', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'Necesitamos calibrar la balanza para que las medidas sean exactas.'}
{'item_ID': 'ensaladilla|NOUN|ES_867', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'La ensaladilla es mi plato favorito en verano.'}	{'item_ID': 'asignación|NOUN|ES_659', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'La asignación de recursos para el proyecto es crucial.'}	{'item_ID': 'cuajar|VERB|ES_787', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'La gelatina no cuajó en la nevera.'}	{'item_ID': 'encantar|VERB|ES_129', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'Me encanta cómo su arte contemporáneo desafía las percepciones tradicionales.'}
{'item_ID': 'ácido|NOUN|ES_606', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'A2', 'sentence_text': 'El vinagre contiene un ácido.'}	{'item_ID': 'alfiler|NOUN|ES_849', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'Se pinchó el dedo con un alfiler mientras cosía la tela.'}	{'item_ID': 'oro|NOUN|ES_52', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'Ella lleva un collar de oro.'}	{'item_ID': 'recalcar|VERB|ES_922', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'Ella quiso recalcar la importancia de la reunión.'}
