item_1	item_2	item_3	item_4
{'item_ID': 'mjöl|NOUN|SV_438', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'Jag behöver mer mjöl för att baka brödet.'}	{'item_ID': 'vintermörker|NOUN|SV_628', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'Många svenskar längtar efter ljus under vintermörkret.'}	{'item_ID': 'avbön|NOUN|SV_814', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'Han gjorde offentlig avbön för sina tidigare uttalanden.'}	{'item_ID': 'mikrofon|NOUN|SV_621', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'A2', 'sentence_text': 'Jag sjunger i mikrofonen.'}
{'item_ID': 'tyngd|NOUN|SV_808', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'Lyftaren kände tyngden av stången på sina axlar.'}	{'item_ID': 'multikultur|NOUN|SV_898', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'Multikultur är en viktig del av stadens identitet.'}	{'item_ID': 'barnpiga|NOUN|SV_838', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'Vi anlitade en barnpiga för att ta hand om barnen på kvällen.'}	{'item_ID': 'promenad|NOUN|SV_86', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Vi tar en promenad i parken.'}
{'item_ID': 'yttrande|NOUN|SV_422', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'Hans yttrande var mycket tydligt.'}	{'item_ID': 'studielån|NOUN|SV_292', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'Många studenter tar ett studielån.'}	{'item_ID': 'trafikant|NOUN|SV_823', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'Alla trafikanter måste följa trafikreglerna.'}	{'item_ID': 'matematik|NOUN|SV_264', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'Trots svårigheterna har hon alltid haft ett stort intresse för matematik.'}
{'item_ID': 'smörgåsbord|NOUN|SV_417', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'Jag älskar att äta på ett smörgåsbord.'}	{'item_ID': 'skiva|NOUN|SV_225-SV_226', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1-A2', 'sentence_text': 'Jag vill ha en skiva bröd.'}	{'item_ID': 'drömmeri|NOUN|SV_853', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'Hennes drömmeri tog henne långt bort från verkligheten.'}	{'item_ID': 'minut|NOUN|SV_203', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'Hon behövde bara några minuter för att förbereda presentationen.'}
{'item_ID': 'ägg|NOUN|SV_69', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'Vissa fåglar lägger sina ägg i trädtopparna för att skydda dem från rovdjur.'}	{'item_ID': 'satellitnavigering|NOUN|SV_654', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'Föraren förlitade sig helt på satellitnavigering för att nå destinationen i tid.'}	{'item_ID': 'drivmedel|NOUN|SV_666-SV_667', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'A2-B1', 'sentence_text': 'Vi behöver mer drivmedel till bilen.'}	{'item_ID': 'stuga|NOUN|SV_98', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Vi hyrde en liten stuga vid sjön för sommaren.'}
{'item_ID': 'promenad|NOUN|SV_88', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Vi tog en lång promenad i parken igår.'}	{'item_ID': 'korridor|NOUN|SV_267', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'Gå rakt fram i korridoren.'}	{'item_ID': 'gryning|NOUN|SV_818', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'Vi vaknade tidigt i gryningen för att se solen gå upp.'}	{'item_ID': 'polisstation|NOUN|SV_463', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'Den nya polisstationen ligger nära centrum.'}
{'item_ID': 'miljö|NOUN|SV_206', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'Hon gillar att arbeta i en lugn miljö.'}	{'item_ID': 'husesyn|NOUN|SV_879', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'Hyresvärden gjorde en husesyn innan de nya hyresgästerna flyttade in.'}	{'item_ID': 'varelse|NOUN|SV_454', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'Människan är en komplex varelse med många känslor.'}	{'item_ID': 'svärmor|NOUN|SV_275', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'Min svärmor heter Sara.'}
{'item_ID': 'journalist|NOUN|SV_54', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'Som journalist är det viktigt att vara objektiv och källkritisk.'}	{'item_ID': 'promenad|NOUN|SV_85', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Jag tar en promenad i parken.'}	{'item_ID': 'journalist|NOUN|SV_50', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Han är journalist.'}	{'item_ID': 'förälder|NOUN|SV_10', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Min förälder är snäll.'}
{'item_ID': 'barnpiga|NOUN|SV_836', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'A2', 'sentence_text': 'Barnpigan leker med barnen.'}	{'item_ID': 'motorcykel|NOUN|SV_242', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'Hon åker motorcykel till jobbet varje dag.'}	{'item_ID': 'förklaring|NOUN|SV_401', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A2', 'sentence_text': 'Jag behöver en förklaring.'}	{'item_ID': 'drivmedel|NOUN|SV_669', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'Den nya bilmodellen kan köras på flera olika typer av drivmedel.'}
{'item_ID': 'mikrofon|NOUN|SV_622', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'Sångaren håller en mikrofon när han sjunger.'}	{'item_ID': 'bröllop|NOUN|SV_413', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'De ska ha sitt bröllop nästa sommar.'}	{'item_ID': 'bussförare|NOUN|SV_844', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'Min granne är bussförare och kör stadens linjer varje dag.'}	{'item_ID': 'gathörn|NOUN|SV_866', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'A2', 'sentence_text': 'Butiken ligger vid gathörnet.'}
