item_1	item_2	item_3	item_4
{'item_ID': 'misslyckas|VERB|SV_776', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'A2', 'sentence_text': 'Han misslyckades med att hitta nycklarna.'}	{'item_ID': 'skola|VERB|SV_102', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'Vi måste skola oss för att få bättre jobb.'}	{'item_ID': 'skala|VERB|SV_531', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A2', 'sentence_text': 'Jag ska skala potatisen till middagen.'}	{'item_ID': 'syssla|VERB|SV_383', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'Han sysslar med att måla tavlor på sin fritid.'}
{'item_ID': 'sjunka|VERB|SV_351', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'Båten sjunker i vattnet.'}	{'item_ID': 'försöka|VERB|SV_143', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Vi måste försöka hitta en lösning på problemet.'}	{'item_ID': 'kalla|VERB|SV_305', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'Vi kan kalla honom Peter.'}	{'item_ID': 'knäppa|VERB|SV_576', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A2', 'sentence_text': 'Hon kan knäppa sin jacka.'}
{'item_ID': 'möta|VERB|SV_190', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Jag möter en vän.'}	{'item_ID': 'viska|VERB|SV_559', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'Han viskade oroligt till sin kollega om det oväntade beskedet.'}	{'item_ID': 'gnugga|VERB|SV_986', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'A2', 'sentence_text': 'Jag gnuggar mina ögon när jag är trött.'}	{'item_ID': 'sprida|VERB|SV_509', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'Att sprida kunskap är viktigt för utvecklingen av samhället.'}
{'item_ID': 'cykla|VERB|SV_344', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'Att cykla i motvind kan vara ansträngande, men man vänjer sig.'}	{'item_ID': 'köpa|VERB|SV_131', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Jag ska köpa mat.'}	{'item_ID': 'heta|VERB|SV_153', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Det heter att man ska vara försiktig när man kör på vintern.'}	{'item_ID': 'möta|VERB|SV_193', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Hon var redo att möta utmaningen.'}
{'item_ID': 'konstatera|VERB|SV_369', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'Efter en noggrann undersökning kunde läkaren konstatera att patienten var frisk.'}	{'item_ID': 'bevilja|VERB|SV_958', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'De beviljade henne ett stipendium för studierna.'}	{'item_ID': 'svida|VERB|SV_594', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'Misslyckandet sved, men han var fast besluten att inte ge upp.'}	{'item_ID': 'leka|VERB|SV_326', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'Barnen leker i trädgården.'}
{'item_ID': 'undra|VERB|SV_319', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'Jag undrar om teknologins snabba utveckling kommer att förändra våra samhällen i grunden.'}	{'item_ID': 'avleda|VERB|SV_797', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'Ljudet avledde mig från mitt arbete.'}	{'item_ID': 'reflektera|VERB|SV_729', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'Det är bra att reflektera över sina beslut innan man agerar.'}	{'item_ID': 'svida|VERB|SV_591', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A2', 'sentence_text': 'Mitt sår svider lite.'}
{'item_ID': 'lugna|VERB|SV_730', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'A1', 'sentence_text': 'Han lugnar barnet.'}	{'item_ID': 'avstyra|VERB|SV_788', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'Vi kunde avstyra en olycka i sista stund.'}	{'item_ID': 'syssla|VERB|SV_381', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'Jag sysslar ofta med att läsa böcker på helgen.'}	{'item_ID': 'styrka|VERB|SV_916', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'A2', 'sentence_text': 'Äta bra mat kan styrka din kropp.'}
{'item_ID': 'cykla|VERB|SV_340', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'Jag cyklar till parken.'}	{'item_ID': 'hinna|VERB|SV_312', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'Jag hinner inte svara på mejlet idag.'}	{'item_ID': 'vinna|VERB|SV_189', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'För att vinna argumentet lade hon fram övertygande bevis.'}	{'item_ID': 'se|VERB|SV_119', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'Det är intressant att se hur olika kulturer närmar sig liknande problem.'}
{'item_ID': 'inlemma|VERB|SV_924', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'Man beslutade att inlemma den lilla byn i den större kommunen.'}	{'item_ID': 'anfalla|VERB|SV_584', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'Tjuvarna valde att anfalla banken tidigt på morgonen.'}	{'item_ID': 'anfalla|VERB|SV_583', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'Soldaterna anföll fienden.'}	{'item_ID': 'rykta|VERB|SV_769', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'Han ryktar sin häst varje morgon.'}
{'item_ID': 'filma|VERB|SV_597', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'Vi ska filma en kort dokumentär till projektet.'}	{'item_ID': 'sitta|VERB|SV_121', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Jag sitter på stolen.'}	{'item_ID': 'inrätta|VERB|SV_717', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'Staden planerar att inrätta en ny busslinje.'}	{'item_ID': 'undra|VERB|SV_315', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'Jag undrar vad det är.'}
