item_1	item_2	item_3	item_4
{'item_ID': 'make-up|NOUN|EN_281', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'She wears make-up for the party.'}	{'item_ID': 'spying|NOUN|EN_634', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'The government faced accusations of extensive spying on foreign diplomats.'}	{'item_ID': 'capital|NOUN|EN_240', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'Paris is the capital of France.'}	{'item_ID': 'request|NOUN|EN_249', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'Her urgent request for more information was immediately addressed by the department.'}
{'item_ID': 'contact|NOUN|EN_219', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'He has many useful contacts in the industry.'}	{'item_ID': 'building|NOUN|EN_15', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'It is a big building.'}	{'item_ID': 'exit|NOUN|EN_273', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'Please use the emergency exit if there is a fire.'}	{'item_ID': 'praise|NOUN|EN_492', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'She received much praise for her hard work.'}
"{'item_ID': 'self-promotion|NOUN|EN_898', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': ""Many people find self-promotion difficult, even when it's necessary.""}"	{'item_ID': 'cop|NOUN|EN_645', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'A1', 'sentence_text': 'A cop helps people.'}	{'item_ID': 'bandage|NOUN|EN_619', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'She carefully removed the old bandage and applied a fresh one.'}	"{'item_ID': 'balance|NOUN|EN_253', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': ""It's important to find a good balance between work and rest.""}"
{'item_ID': 'building|NOUN|EN_16', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'The building is tall.'}	{'item_ID': 'sense|NOUN|EN_202', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'That idea makes no sense.'}	{'item_ID': 'cop|NOUN|EN_648', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'The cop arrived quickly after we called for help.'}	{'item_ID': 'fight|NOUN|EN_225', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'They had a fight.'}
{'item_ID': 'capital|NOUN|EN_244', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'The firm struggled to raise sufficient capital for its ambitious new project.'}	{'item_ID': 'bathroom|NOUN|EN_74', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'They decided to renovate the outdated bathroom, opting for a modern, minimalist design.'}	{'item_ID': 'gem|NOUN|EN_683', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'The museum has a small but impressive collection of rare gems.'}	{'item_ID': 'dialogue|NOUN|EN_688', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'The two leaders began a new dialogue about peace.'}
{'item_ID': 'robber|NOUN|EN_269', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'The police caught the robber as he tried to escape.'}	{'item_ID': 'chin|NOUN|EN_605', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'A1', 'sentence_text': 'She has a small chin.'}	{'item_ID': 'coupon|NOUN|EN_848', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'I used a coupon to get a discount on the new shirt.'}	{'item_ID': 'self-promotion|NOUN|EN_897', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'Self-promotion is important for finding a job.'}
{'item_ID': 'column|NOUN|EN_276', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'The old building has many tall columns.'}	{'item_ID': 'loneliness|NOUN|EN_482', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'Sometimes, loneliness can make people feel sad.'}	{'item_ID': 'arthritis|NOUN|EN_819', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'Arthritis can make daily tasks challenging for some people.'}	{'item_ID': 'defence|NOUN|EN_443', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'She spoke in his defence when he was accused of making a mistake.'}
{'item_ID': 'boyfriend|NOUN|EN_99', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'She brought her boyfriend to the company picnic last weekend.'}	{'item_ID': 'table|NOUN|EN_13', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Please put the books on the table.'}	{'item_ID': 'horsepower|NOUN|EN_862', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'The new car has more horsepower than the old one.'}	{'item_ID': 'make-up|NOUN|EN_283', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'She bought some new make-up for the special event.'}
{'item_ID': 'tray|NOUN|EN_287', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'She put the dirty dishes on the tray.'}	{'item_ID': 'chin|NOUN|EN_609', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'With a determined look, she lifted her chin and faced the challenge.'}	{'item_ID': 'bin|NOUN|EN_432-EN_433', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1-B2', 'sentence_text': 'Please put the empty bottle in the recycling bin.'}	{'item_ID': 'fight|NOUN|EN_229', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'The environmental group is leading a fight against pollution.'}
"{'item_ID': 'balance|NOUN|EN_252', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': ""It's important to find a good balance between work and play.""}"	"{'item_ID': 'defence|NOUN|EN_442', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': ""The team's defence was strong in the final minutes.""}"	{'item_ID': 'affection|NOUN|EN_459', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'Her deep affection for animals led her to volunteer at the local shelter.'}	{'item_ID': 'recipe|NOUN|EN_425', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A1', 'sentence_text': 'I have a recipe for cake.'}
