word_entry	word_level_CEFRLex	sentence_level_generated	sentence_ID	sentence_text
pappa|NOUN	A1	A1-A2	SV_0-SV_1	Min pappa är snäll.
pappa|NOUN	A1	B1	SV_2	Min pappa kommer hem sent idag.
pappa|NOUN	A1	B2	SV_3	Han är en bra pappa.
pappa|NOUN	A1	C1	SV_4	Trots att hans pappa var skeptisk, valde han att följa sin egen väg.
människa|NOUN	A1	A1	SV_5	Jag är en människa.
människa|NOUN	A1	A2	SV_6	Han är en vänlig människa.
människa|NOUN	A1	B1	SV_7	En människa behöver mat och vatten för att leva.
människa|NOUN	A1	B2	SV_8	Det är viktigt att behandla varje människa med respekt.
människa|NOUN	A1	C1	SV_9	Den moderna människan står inför många globala utmaningar.
förälder|NOUN	A1	A1	SV_10	Min förälder är snäll.
förälder|NOUN	A1	A2	SV_11	Min förälder hjälper mig.
förälder|NOUN	A1	B1	SV_12	En förälder älskar sina barn.
förälder|NOUN	A1	B2	SV_13	En förälder har alltid mycket att göra.
förälder|NOUN	A1	C1	SV_14	En förälder spelar en avgörande roll i barnets utveckling.
flicka|NOUN	A1	A1	SV_15	Flickan leker.
flicka|NOUN	A1	A2	SV_16	En flicka leker i parken.
flicka|NOUN	A1	B1	SV_17	Flickan sprang snabbt till parken.
flicka|NOUN	A1	B2	SV_18	Flickan lekte med sin boll på gården.
flicka|NOUN	A1	C1	SV_19	Flickan lekte i parken med sina vänner.
kläder|NOUN	A1	A1-A2	SV_20-SV_21	Jag köper nya kläder.
kläder|NOUN	A1	B1	SV_22	Vi måste tvätta kläderna idag.
kläder|NOUN	A1	B2	SV_23	Hon har många fina kläder i sin garderob.
kläder|NOUN	A1	C1	SV_24	Många menar att kläderna vi väljer att bära kan säga en hel del om vår personlighet och sociala status.
sida|NOUN	A1	A1	SV_25	Boken har många sidor.
sida|NOUN	A1	A2	SV_26	Läs texten på sida tjugo.
sida|NOUN	A1	B1	SV_27	Jag läste boken till sista sidan.
sida|NOUN	A1	B2	SV_28	Han presenterade sin sida av historien.
sida|NOUN	A1	C1	SV_29	Regeringen lyckades få oppositionen på sin sida i klimatfrågan.
son|NOUN	A1	A1	SV_30	Jag har en son.
son|NOUN	A1	A2	SV_31	Han har en son.
son|NOUN	A1	B1	SV_32	Min son spelar fotboll varje helg.
son|NOUN	A1	B2	SV_33	Hennes son är en begåvad musiker.
son|NOUN	A1	C1	SV_34	Sonen övertog ansvaret för familjeföretaget efter sin fars bortgång.
musik|NOUN	A1	A1	SV_35	Jag gillar musik.
musik|NOUN	A1	A2	SV_36	Jag gillar att lyssna på musik.
musik|NOUN	A1	B1	SV_37	Jag lyssnar ofta på musik när jag tränar.
musik|NOUN	A1	B2	SV_38	De diskuterade hur musiken har utvecklats genom århundradena.
musik|NOUN	A1	C1	SV_39	Silvias intresse för klassisk musik har blommat ut under de senaste åren.
syskon|NOUN	A1	A1	SV_40	Jag har ett syskon.
syskon|NOUN	A1	A2-B1	SV_41-SV_42	Jag har två syskon.
syskon|NOUN	A1	B2	SV_43	Mina syskon bor inte längre i samma stad som jag.
syskon|NOUN	A1	C1	SV_44	Syskonen delade på ansvaret för att ta hand om sina åldrande föräldrar.
säng|NOUN	A1	A1-A2	SV_45-SV_46	Jag sover i min säng.
säng|NOUN	A1	B1	SV_47	Jag läser en bok i sängen varje kväll.
säng|NOUN	A1	B2	SV_48	Jag läste en bok i sängen innan jag somnade.
säng|NOUN	A1	C1	SV_49	Hon byggde om hela sovrummet och placerade sängen mitt emot fönstret.
journalist|NOUN	A1	A1	SV_50	Han är journalist.
journalist|NOUN	A1	A2	SV_51	Hon är journalist.
journalist|NOUN	A1	B1	SV_52	Journalisten skriver artiklar för en tidning.
journalist|NOUN	A1	B2	SV_53	Journalisten intervjuade borgmästaren om det nya projektet.
journalist|NOUN	A1	C1	SV_54	Som journalist är det viktigt att vara objektiv och källkritisk.
granne|NOUN	A1	A1	SV_55	Min granne heter Anna.
granne|NOUN	A1	A2	SV_56	Min granne är trevlig.
granne|NOUN	A1	B1	SV_57	Min granne hjälpte mig att flytta soffan.
granne|NOUN	A1	B2	SV_58	Min granne hjälpte mig med trädgården igår.
granne|NOUN	A1	C1	SV_59	Min granne hjälpte mig med att bära upp den nya soffan till lägenheten.
cykel|NOUN	A1	A1	SV_60	Jag har en cykel.
cykel|NOUN	A1	A2	SV_61	Min cykel är blå.
cykel|NOUN	A1	B1	SV_62	Jag cyklar till jobbet varje dag med min cykel.
cykel|NOUN	A1	B2	SV_63	Jag använder min cykel för att pendla till jobbet varje dag.
cykel|NOUN	A1	C1	SV_64	Vattenförorening kan störa ekosystemets naturliga cykel.
ägg|NOUN	A1	A1	SV_65	Jag äter ett ägg.
ägg|NOUN	A1	A2-B1	SV_66-SV_67	Jag äter ett ägg till frukost.
ägg|NOUN	A1	B2	SV_68	Många recept kräver flera ägg för att få rätt konsistens.
ägg|NOUN	A1	C1	SV_69	Vissa fåglar lägger sina ägg i trädtopparna för att skydda dem från rovdjur.
varuhus|NOUN	A1	A1	SV_70	Jag går till varuhuset.
varuhus|NOUN	A1	A2	SV_71	Vi gick till ett varuhus för att köpa skor.
varuhus|NOUN	A1	B1	SV_72	Vi gick till varuhuset för att köpa presenter.
varuhus|NOUN	A1	B2	SV_73	Vi åkte till varuhuset för att köpa nya möbler.
varuhus|NOUN	A1	C1	SV_74	Efter ombyggnationen framstår det gamla varuhuset nu som en modern och inbjudande mötesplats.
