word_entry	word_level_CEFRLex	word_frequency_total_CEFRLex	stratum_random_sample
vrouw|NOUN	A1	490.0	stratum_1
jaar|NOUN	A1	695.0	stratum_1
brief|NOUN	A1	181.0	stratum_2
meneer|NOUN	A1	151.0	stratum_2
avond|NOUN	A1	118.0	stratum_3
zee|NOUN	A1	109.0	stratum_3
informatie|NOUN	A1	93.0	stratum_4
trein|NOUN	A1	94.0	stratum_4
bedrijf|NOUN	A1	85.0	stratum_5
hond|NOUN	A1	82.0	stratum_5
krant|NOUN	A1	61.0	stratum_6
thee|NOUN	A1	63.0	stratum_6
studie|NOUN	A1	47.0	stratum_7
pak|NOUN	A1	55.0	stratum_7
kilometer|NOUN	A1	39.0	stratum_8
boodschap|NOUN	A1	42.0	stratum_8
honger|NOUN	A1	33.0	stratum_9
onderwerp|NOUN	A1	38.0	stratum_9
kwart|NOUN	A1	29.0	stratum_10
fruit|NOUN	A1	29.0	stratum_10
moeten|VERB	A1	1703.0	stratum_1
komen|VERB	A1	1601.0	stratum_1
staan|VERB	A1	948.0	stratum_2
kijken|VERB	A1	1000.0	stratum_2
weten|VERB	A1	827.0	stratum_3
laten|VERB	A1	540.0	stratum_3
blijven|VERB	A1	456.0	stratum_4
liggen|VERB	A1	460.0	stratum_4
schrijven|VERB	A1	268.0	stratum_5
kennen|VERB	A1	288.0	stratum_5
leren|VERB	A1	258.0	stratum_6
pakken|VERB	A1	252.0	stratum_6
drinken|VERB	A1	195.0	stratum_7
betalen|VERB	A1	190.0	stratum_7
spelen|VERB	A1	158.0	stratum_8
kopen|VERB	A1	158.0	stratum_8
noemen|VERB	A1	152.0	stratum_9
leven|VERB	A1	139.0	stratum_9
stoppen|VERB	A1	120.0	stratum_10
schreeuwen|VERB	A1	101.0	stratum_10
bron|NOUN	A2	38.0	stratum_1
arm|NOUN	A2	160.0	stratum_1
hals|NOUN	A2	25.0	stratum_2
buik|NOUN	A2	22.0	stratum_2
advocaat|NOUN	A2	21.0	stratum_3
moeras|NOUN	A2	21.0	stratum_3
toneel|NOUN	A2	13.0	stratum_4
toegang|NOUN	A2	15.0	stratum_4
stamppot|NOUN	A2	10.0	stratum_5
kijker|NOUN	A2	11.0	stratum_5
kalkoen|NOUN	A2	9.0	stratum_6
wijk|NOUN	A2	9.0	stratum_6
camping|NOUN	A2	6.0	stratum_7
woonplaats|NOUN	A2	7.0	stratum_7
bil|NOUN	A2	5.0	stratum_8
onderjurk|NOUN	A2	5.0	stratum_8
hertog|NOUN	A2	4.0	stratum_9
hofzaal|NOUN	A2	4.0	stratum_9
diabetes|NOUN	A2	3.0	stratum_10
bestelling|NOUN	A2	3.0	stratum_10
doden|VERB	A2	51.0	stratum_1
bouwen|VERB	A2	46.0	stratum_1
reageren|VERB	A2	36.0	stratum_2
lukken|VERB	A2	39.0	stratum_2
drijven|VERB	A2	20.0	stratum_3
delen|VERB	A2	25.0	stratum_3
binden|VERB	A2	17.0	stratum_4
betreffen|VERB	A2	19.0	stratum_4
verdedigen|VERB	A2	13.0	stratum_5
gewennen|VERB	A2	13.0	stratum_5
juichen|VERB	A2	12.0	stratum_6
vergissen|VERB	A2	12.0	stratum_6
stampen|VERB	A2	10.0	stratum_7
mailen|VERB	A2	9.0	stratum_7
eruitzien|VERB	A2	8.0	stratum_8
opgroeien|VERB	A2	7.0	stratum_8
paren|VERB	A2	6.0	stratum_9
stotteren|VERB	A2	7.0	stratum_9
ruilen|VERB	A2	5.0	stratum_10
uithalen|VERB	A2	6.0	stratum_10
positie|NOUN	B1	13.0	stratum_1
ongeval|NOUN	B1	14.0	stratum_1
