word_entry	word_level_CEFRLex	sentence_level_generated	sentence_ID	sentence_text
water|NOUN	A1	A1	EN_0	I drink water.
water|NOUN	A1	A2	EN_1	I drink water every day.
water|NOUN	A1	B1	EN_2	The plant needs water every day.
water|NOUN	A1	B2	EN_3	The water in the lake was very clear today.
water|NOUN	A1	C1	EN_4	The city council debated the new regulations concerning the quality of the public water supply.
house|NOUN	A1	A1	EN_5	This is my house.
house|NOUN	A1	A2	EN_6	I live in a big house.
house|NOUN	A1	B1	EN_7	They bought a new house last year.
house|NOUN	A1	B2	EN_8	We bought a new house last year with a big garden.
house|NOUN	A1	C1	EN_9	The old house at the end of the street had been vacant for years, its windows boarded up.
table|NOUN	A1	A1-A2	EN_10-EN_11	The book is on the table.
table|NOUN	A1	B1	EN_12	Please put the plates on the table.
table|NOUN	A1	B2	EN_13	Please put the books on the table.
table|NOUN	A1	C1	EN_14	The researcher included an extensive table of results in her final presentation.
building|NOUN	A1	A1	EN_15	It is a big building.
building|NOUN	A1	A2	EN_16	The building is tall.
building|NOUN	A1	B1	EN_17	The tall building has many windows.
building|NOUN	A1	B2	EN_18	The old building will be renovated next year.
building|NOUN	A1	C1	EN_19	The historic building on the corner of the street is undergoing extensive renovations to preserve its original architecture.
holiday|NOUN	A1	A1	EN_20	I like my holiday.
holiday|NOUN	A1	A2	EN_21	I go on holiday in July.
holiday|NOUN	A1	B1	EN_22	We are going on holiday next week.
holiday|NOUN	A1	B2	EN_23	We are planning our summer holiday to the beach.
holiday|NOUN	A1	C1	EN_24	We spent our summer holiday traveling through Scandinavia.
back|NOUN	A1	A1	EN_25	My back hurts a little.
back|NOUN	A1	A2	EN_26	My back hurts after the long walk.
back|NOUN	A1	B1	EN_27	My back hurts after I carried those heavy bags.
back|NOUN	A1	B2	EN_28	My back started to hurt after sitting at the computer all day.
back|NOUN	A1	C1	EN_29	He always had the back of his older brother, no matter the trouble he got into.
order|NOUN	A1	A1	EN_30	This is my order.
order|NOUN	A1	A2	EN_31	The waiter took our order.
order|NOUN	A1	B1	EN_32	My food order is ready.
order|NOUN	A1	B2	EN_33	I placed an order for a new book online.
order|NOUN	A1	C1	EN_34	The committee was established to bring order to the often confusing bureaucratic process.
thanks|NOUN	A1	A1	EN_35	She got a lot of thanks.
thanks|NOUN	A1	A2-B1	EN_36-EN_37	Many thanks for your help.
thanks|NOUN	A1	B2	EN_38	Please accept my thanks for your help.
thanks|NOUN	A1	C1	EN_39	Our sincere thanks go to everyone who volunteered.
difference|NOUN	A1	A1	EN_40	There is a big difference.
difference|NOUN	A1	A2	EN_41	There is a big difference between the two shirts.
difference|NOUN	A1	B1	EN_42	What is the difference between these two shirts?
difference|NOUN	A1	B2	EN_43	There is a big difference between the two proposals.
difference|NOUN	A1	C1	EN_44	The profound difference in their perspectives made a genuine reconciliation unlikely.
tonight|NOUN	A1	A1	EN_45	Tonight will be fun.
tonight|NOUN	A1	A2	EN_46	We will watch a movie tonight.
tonight|NOUN	A1	B1	EN_47	What are your plans for tonight?
tonight|NOUN	A1	B2	EN_48	Tonight is going to be a fun evening.
tonight|NOUN	A1	C1	EN_49	Tonight promises to be a memorable occasion for everyone involved.
neck|NOUN	A1	A1	EN_50	He has a long neck.
neck|NOUN	A1	A2	EN_51	She wears a scarf around her neck.
neck|NOUN	A1	B1	EN_52	She tied a scarf around her neck because it was cold.
neck|NOUN	A1	B2	EN_53	She wore a beautiful necklace around her neck.
neck|NOUN	A1	C1	EN_54	She had to really stick her neck out to challenge the long-standing company policy.
owner|NOUN	A1	A1	EN_55	He is the owner of the car.
owner|NOUN	A1	A2	EN_56	The owner of the cat came to take it home.
