item_1	item_2	item_3	item_4
"{'item_ID': 'accessoire|NOUN|FR_264', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': ""Cet accessoire est indispensable pour le bon fonctionnement de l'appareil photo.""}"	{'item_ID': 'instance|NOUN|FR_237', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'Cette instance est responsable de la gestion des fonds.'}	"{'item_ID': 'mensonge|NOUN|FR_227', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': ""Je n'aime pas les mensonges.""}"	{'item_ID': 'refroidir|VERB|FR_908', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'Le café va refroidir si tu ne le bois pas.'}
"{'item_ID': 'accueillir|VERB|FR_163', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': ""Ils ont décidé d'accueillir les nouveaux étudiants.""}"	{'item_ID': 'alarmer|VERB|FR_721', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'A2', 'sentence_text': 'La fumée a alarmé les voisins.'}	{'item_ID': 'mensonge|NOUN|FR_229', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'Son habitude de déguiser la vérité sous des petits mensonges a fini par ruiner sa réputation.'}	"{'item_ID': 'gâcher|VERB|FR_363', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': ""Sa mauvaise humeur a gâché l'ambiance de la soirée.""}"
{'item_ID': 'côtoyer|VERB|FR_382', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'Nous aimons côtoyer la mer quand nous sommes en vacances.'}	"{'item_ID': 'clouer|VERB|FR_582', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': ""J'ai cloué l'affiche sur la porte.""}"	{'item_ID': 'tâche|NOUN|FR_78', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Ma tâche principale pour la semaine est de finir ce rapport.'}	{'item_ID': 'journaliste|NOUN|FR_11', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Mon frère est journaliste à Paris.'}
"{'item_ID': 'réussir|VERB|FR_131', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': ""J'espère réussir mon examen.""}"	"{'item_ID': 'clouer|VERB|FR_581', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A2', 'sentence_text': ""Il doit clouer l'image au mur.""}"	{'item_ID': 'dessert|NOUN|FR_92', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'Après le repas, nous avons mangé un délicieux dessert.'}	{'item_ID': 'réussir|VERB|FR_130', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Je veux réussir mon examen.'}
{'item_ID': 'dormir|VERB|FR_126', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Je dors bien la nuit.'}	"{'item_ID': 'réinventer|VERB|FR_734', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': ""Il est parfois nécessaire de se réinventer pour s'adapter aux changements rapides.""}"	{'item_ID': 'convoiter|VERB|FR_378', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'Elle convoite sa nouvelle voiture.'}	{'item_ID': 'rambarde|NOUN|FR_686', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'A2', 'sentence_text': 'La rambarde du balcon est blanche.'}
{'item_ID': 'vouloir|VERB|FR_108', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Ils voulaient que je les aide à déménager.'}	{'item_ID': 'exutoire|NOUN|FR_639', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'Le sport est un excellent exutoire pour son stress.'}	"{'item_ID': 'échouer|VERB|FR_521', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A2', 'sentence_text': ""Il a échoué à l'examen.""}"	"{'item_ID': 'fissure|NOUN|FR_443', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': ""Nous devons réparer la fissure dans le mur avant qu'elle ne s'agrandisse.""}"
{'item_ID': 'confinement|NOUN|FR_863', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'Pendant le confinement, beaucoup de gens ont travaillé depuis chez eux.'}	"{'item_ID': 'charme|NOUN|FR_72', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': ""J'aime le charme de cette vieille ville.""}"	{'item_ID': 'perfection|NOUN|FR_463', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'Il recherche la perfection dans son travail.'}	"{'item_ID': 'pauvre|NOUN|FR_40', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': ""Il donne de l'argent aux pauvres.""}"
{'item_ID': 'pâture|NOUN|FR_479', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'Les discussions philosophiques servaient de riche pâture à son intellect.'}	{'item_ID': 'encastrer|VERB|FR_762', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'Nous devons encastrer le nouveau four.'}	{'item_ID': 'souris|NOUN|FR_217', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'La souris est à côté du clavier.'}	{'item_ID': 'parade|NOUN|FR_454', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'La grande parade militaire a traversé le centre-ville.'}
{'item_ID': 'étranger|NOUN|FR_48', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Il a aidé un étranger à trouver son chemin.'}	"{'item_ID': 'appartement|NOUN|FR_19', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': ""La recherche d'un appartement spacieux et lumineux dans le centre-ville s'avérait plus ardue que prévu.""}"	{'item_ID': 'primer|VERB|FR_782', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'La sécurité doit primer sur le coût.'}	{'item_ID': 'amener|VERB|FR_181', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Il amène son chien au parc.'}
{'item_ID': 'réutiliser|VERB|FR_571', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A2', 'sentence_text': 'Nous pouvons réutiliser cette bouteille.'}	"{'item_ID': 'coder|VERB|FR_592', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': ""J'aime coder des petits jeux sur mon ordinateur.""}"	{'item_ID': 'nuancer|VERB|FR_994', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'Il faut nuancer cette affirmation pour être plus précis.'}	{'item_ID': 'étranger|NOUN|FR_46', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Je ne connais pas cet étranger.'}
