item_1	item_2	item_3	item_4
{'item_ID': 'gastronomía|NOUN|ES_78', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'La gastronomía de esta región es muy famosa.'}	{'item_ID': 'volcán|NOUN|ES_65', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'El volcán es grande.'}	{'item_ID': 'garaje|NOUN|ES_98', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Guardamos el coche en el garaje.'}	{'item_ID': 'monopolio|NOUN|ES_628', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'Esa empresa tiene un monopolio en el mercado local.'}
{'item_ID': 'roble|NOUN|ES_674', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'El viejo roble del jardín ofrecía una sombra generosa en los días calurosos de verano.'}	{'item_ID': 'volcán|NOUN|ES_68', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'El volcán Popocatépetl es muy famoso en México.'}	{'item_ID': 'gastronomía|NOUN|ES_77', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'Me encanta la gastronomía italiana.'}	{'item_ID': 'fallo|NOUN|ES_428', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'El fallo del motor detuvo el coche en medio de la carretera.'}
{'item_ID': 'objetivo|NOUN|ES_24', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'Nuestro objetivo principal es reducir las emisiones de carbono.'}	{'item_ID': 'importancia|NOUN|ES_28', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'La educación tiene gran importancia para el futuro.'}	{'item_ID': 'garaje|NOUN|ES_97', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'Necesitamos limpiar el garaje este fin de semana.'}	{'item_ID': 'aporte|NOUN|ES_473', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'Su aporte fue muy valioso para el éxito del equipo.'}
{'item_ID': 'ensaladilla|NOUN|ES_869', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'La ensaladilla que pedimos estaba deliciosa y muy fresca.'}	{'item_ID': 'costumbre|NOUN|ES_56', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Es mi costumbre leer antes de dormir.'}	{'item_ID': 'vuelo|NOUN|ES_46', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'El vuelo a Madrid sale pronto.'}	{'item_ID': 'represión|NOUN|ES_298', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'Hubo represión en las protestas de ayer.'}
{'item_ID': 'ácido|NOUN|ES_608', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'El jugo de limón tiene mucho ácido.'}	{'item_ID': 'remedio|NOUN|ES_202', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'Busco un remedio para mi dolor de garganta.'}	{'item_ID': 'grana|NOUN|ES_879', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'Los antiguos tapices mostraban un profundo color de grana.'}	{'item_ID': 'antidepresivo|NOUN|ES_839', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'El psiquiatra sugirió un antidepresivo para manejar los episodios de ansiedad severa.'}
{'item_ID': 'exclusión|NOUN|ES_447', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'La exclusión de algunos estudiantes fue una sorpresa.'}	{'item_ID': 'cristal|NOUN|ES_72', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'Limpié el cristal de la ventana.'}	{'item_ID': 'marisco|NOUN|ES_87', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'A mi padre le encanta el marisco.'}	{'item_ID': 'alumbramiento|NOUN|ES_842', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'El alumbramiento de su primer hijo fue un momento muy especial.'}
{'item_ID': 'aspecto|NOUN|ES_12', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'Su aspecto es muy diferente ahora.'}	{'item_ID': 'pictograma|NOUN|ES_893', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'El pictograma en la señal ayudó a los turistas a encontrar la salida.'}	{'item_ID': 'tontería|NOUN|ES_84', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'Deja de decir tonterías y concéntrate en lo importante.'}	{'item_ID': 'contradicción|NOUN|ES_243', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'Su declaración está llena de contradicciones.'}
{'item_ID': 'marisco|NOUN|ES_86', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Me gusta comer marisco en la playa.'}	{'item_ID': 'fallo|NOUN|ES_426', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A2', 'sentence_text': 'Hubo un fallo en la máquina.'}	{'item_ID': 'desempleo|NOUN|ES_258', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'El desempleo es un problema grave en muchas economías.'}	{'item_ID': 'desaparecido|NOUN|ES_444', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'La familia aún busca a su desaparecido.'}
{'item_ID': 'esguince|NOUN|ES_694', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'El esguince de tobillo la mantuvo sin poder correr por varias semanas.'}	{'item_ID': 'bechamel|NOUN|ES_684', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'La bechamel es un ingrediente clave en platos como la lasaña.'}	{'item_ID': 'desierto|NOUN|ES_62', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'En el desierto hace mucho calor durante el día.'}	{'item_ID': 'asignación|NOUN|ES_658', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'La asignación para el curso debe entregarse antes del viernes.'}
{'item_ID': 'aleta|NOUN|ES_637', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'El pez nada con sus aletas.'}	{'item_ID': 'esguince|NOUN|ES_693', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'Después de caerse, le diagnosticaron un esguince leve.'}	{'item_ID': 'violación|NOUN|ES_834', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'La violación de las normas de tráfico puede resultar en multas elevadas.'}	{'item_ID': 'ensaladilla|NOUN|ES_866', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'A2', 'sentence_text': 'Pedimos ensaladilla en el restaurante.'}
{'item_ID': 'toxina|NOUN|ES_829', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'La planta produce una toxina para defenderse de los insectos.'}	{'item_ID': 'retiro|NOUN|ES_233', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'Mi abuelo disfrutó mucho su retiro después de tantos años de trabajo.'}	{'item_ID': 'marisco|NOUN|ES_85', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Me gusta el marisco.'}	{'item_ID': 'exclusión|NOUN|ES_448', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'La exclusión social afecta a muchas personas en esta ciudad.'}
{'item_ID': 'oro|NOUN|ES_52', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'Ella lleva un collar de oro.'}	{'item_ID': 'patada|NOUN|ES_458', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'El niño le dio una patada a la puerta cuando estaba enfadado.'}	{'item_ID': 'consola|NOUN|ES_278', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'Compramos una consola nueva para jugar a los videojuegos.'}	{'item_ID': 'exclusión|NOUN|ES_449', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'La exclusión de ciertos grupos de la sociedad es una preocupación global.'}
{'item_ID': 'malo|NOUN|ES_475', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A1', 'sentence_text': 'El lobo es el malo del cuento.'}	{'item_ID': 'producción|NOUN|ES_37', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'La producción de la fábrica es muy alta este mes.'}	{'item_ID': 'garaje|NOUN|ES_96', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Mi coche está en el garaje.'}	{'item_ID': 'alumbramiento|NOUN|ES_844', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'La publicación de su ensayo supuso un alumbramiento para el pensamiento contemporáneo.'}
{'item_ID': 'metáfora|NOUN|ES_643', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'El autor empleó una metáfora para describir el atardecer.'}	{'item_ID': 'muralista|NOUN|ES_436', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A2', 'sentence_text': 'El muralista pinta un dibujo grande en la pared.'}	{'item_ID': 'antidepresivo|NOUN|ES_838', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'El médico le recetó un antidepresivo para mejorar su estado de ánimo.'}	{'item_ID': 'musicalidad|NOUN|ES_898', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'La musicalidad de su voz era evidente.'}
{'item_ID': 'ensaladilla|NOUN|ES_867', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'La ensaladilla es mi plato favorito en verano.'}	{'item_ID': 'microondas|NOUN|ES_266', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'Caliento mi comida en el microondas.'}	{'item_ID': 'humano|NOUN|ES_235', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'Somos humanos.'}	{'item_ID': 'azar|NOUN|ES_264', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'El éxito del proyecto dependió en gran medida del azar.'}
{'item_ID': 'fallo|NOUN|ES_429', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'El sistema sufrió un fallo inesperado y se reinició.'}	{'item_ID': 'indagación|NOUN|ES_882', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'Mi hermana hizo una indagación para su proyecto.'}	{'item_ID': 'grana|NOUN|ES_878', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'El color grana es similar al rojo oscuro.'}	{'item_ID': 'boliche|NOUN|ES_433', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'Pasamos la tarde en el boliche.'}
{'item_ID': 'toxina|NOUN|ES_828', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'Es importante evitar las toxinas en los alimentos.'}	{'item_ID': 'cónyuge|NOUN|ES_613', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'Mi cónyuge y yo celebramos nuestro aniversario el mes pasado.'}	{'item_ID': 'democratización|NOUN|ES_819', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'La democratización de la información ha cambiado la forma en que las personas acceden a noticias.'}	{'item_ID': 'consola|NOUN|ES_277', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'Mi amigo compró una consola nueva para jugar.'}
