item_1	item_2	item_3	item_4
{'item_ID': 'outside|NOUN|EN_262', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'The outside of the building looks very modern.'}	{'item_ID': 'recipe|NOUN|EN_425', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A1', 'sentence_text': 'I have a recipe for cake.'}	{'item_ID': 'tonight|NOUN|EN_47', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'What are your plans for tonight?'}	{'item_ID': 'neck|NOUN|EN_53', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'She wore a beautiful necklace around her neck.'}
{'item_ID': 'bind|VERB|EN_594', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'The new policy will bind all employees to a stricter code of conduct.'}	{'item_ID': 'opposition|NOUN|EN_639', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'The government faced significant opposition to its plans for tax reform.'}	{'item_ID': 'isolate|VERB|EN_921', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'A2', 'sentence_text': 'The doctor will isolate the patient.'}	{'item_ID': 'chocolate|NOUN|EN_89', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'The rich aroma of dark chocolate filled the air, inviting everyone to indulge.'}
{'item_ID': 'owner|NOUN|EN_58', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'The owner of the shop helped me find what I needed.'}	{'item_ID': 'reach|VERB|EN_165', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'I can reach the book.'}	{'item_ID': 'traveler|NOUN|EN_487', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'The traveler checked into the hotel after a long journey.'}	{'item_ID': 'arthritis|NOUN|EN_818', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'My grandmother has arthritis in her knees.'}
{'item_ID': 'worthlessness|NOUN|EN_822', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'The worthlessness of the old broken chair was clear to everyone.'}	{'item_ID': 'smoke|NOUN|EN_64', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'The smell of smoke lingered in her clothes long after the bonfire.'}	{'item_ID': 'plant|NOUN|EN_77', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'I bought a new plant for my living room.'}	{'item_ID': 'disagree|VERB|EN_565-EN_566', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A1-A2', 'sentence_text': 'I disagree with you.'}
{'item_ID': 'isolate|VERB|EN_922', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'They had to isolate the patient to prevent the illness from spreading.'}	{'item_ID': 'cycle|VERB|EN_377', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'I like to cycle in the park on weekends.'}	{'item_ID': 'column|NOUN|EN_278-EN_279', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2-C1', 'sentence_text': 'She writes a weekly column for the local newspaper.'}	{'item_ID': 'affection|NOUN|EN_457', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'She showed great affection for her cat.'}
{'item_ID': 'train|VERB|EN_369', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'The company will train new employees on the updated software next month.'}	{'item_ID': 'suit|VERB|EN_534', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'His extensive experience would suit him well for the leadership position.'}	{'item_ID': 'emerge|VERB|EN_552', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'The cat emerged from under the bed.'}	{'item_ID': 'sense|NOUN|EN_203', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'It makes good sense to save money for the future.'}
{'item_ID': 'curse|VERB|EN_742', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'He started to curse when he realized he had lost his keys.'}	{'item_ID': 'defence|NOUN|EN_441', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A2', 'sentence_text': 'He played in defence for his team.'}	{'item_ID': 'evolve|VERB|EN_722', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'His music style has evolved over the years.'}	{'item_ID': 'house|NOUN|EN_6', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'I live in a big house.'}
{'item_ID': 'read|VERB|EN_127', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'I like to read books before I go to sleep.'}	{'item_ID': 'fight|NOUN|EN_229', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'The environmental group is leading a fight against pollution.'}	{'item_ID': 'lace|NOUN|EN_803', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'She bought a dress with delicate lace details.'}	{'item_ID': 'portrait|NOUN|EN_838', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'She hung the beautiful portrait of her grandmother on the wall.'}
{'item_ID': 'plant|NOUN|EN_78', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'She bought a new plant for her kitchen.'}	{'item_ID': 'fall|NOUN|EN_210', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'I like the fall.'}	{'item_ID': 'holiday|NOUN|EN_23', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'We are planning our summer holiday to the beach.'}	{'item_ID': 'stretch|VERB|EN_701', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'A2', 'sentence_text': 'I stretch my arms every morning.'}
{'item_ID': 'recall|VERB|EN_558', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'She could recall every detail of the accident.'}	{'item_ID': 'ma|NOUN|EN_871', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'A2', 'sentence_text': 'My ma will make dinner tonight.'}	"{'item_ID': 'mind|VERB|EN_319', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': ""You should mind the company's policies regarding data privacy.""}"	{'item_ID': 'junk|NOUN|EN_450', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A1', 'sentence_text': 'I eat junk food.'}
