item_1	item_2	item_3	item_4
{'item_ID': 'krant|NOUN|NL_53', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Ik lees elke ochtend de krant om op de hoogte te blijven.'}	{'item_ID': 'uitvinding|NOUN|NL_807', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'De smartphone is een geweldige uitvinding.'}	{'item_ID': 'kilometer|NOUN|NL_71', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Het hotel is twee kilometer van het station.'}	{'item_ID': 'diabetes|NOUN|NL_293', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'Mijn tante heeft diabetes en moet elke dag insuline spuiten.'}
{'item_ID': 'aanbedene|NOUN|NL_604', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'De ridder zong een lied voor zijn aanbedene.'}	{'item_ID': 'schadeclaim|NOUN|NL_827', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'De verzekering heeft mijn schadeclaim goedgekeurd.'}	{'item_ID': 'herverdeling|NOUN|NL_819', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'De herverdeling van rijkdom is een belangrijk politiek thema.'}	{'item_ID': 'studie|NOUN|NL_60', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Mijn studie is in Amsterdam.'}
{'item_ID': 'kijker|NOUN|NL_245', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'De kijker zit op de bank.'}	{'item_ID': 'adviseur|NOUN|NL_415', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A1', 'sentence_text': 'Mijn broer is adviseur.'}	{'item_ID': 'schadeclaim|NOUN|NL_828', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'De verzekeringsmaatschappij behandelt de schadeclaim.'}	{'item_ID': 'gymles|NOUN|NL_463', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'De kinderen hadden vandaag een leuke gymles.'}
{'item_ID': 'positie|NOUN|NL_401', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A2', 'sentence_text': 'De kat slaapt in een grappige positie.'}	{'item_ID': 'informatica|NOUN|NL_881-NL_883', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'A2-B2', 'sentence_text': 'Mijn zus studeert informatica aan de universiteit.'}	{'item_ID': 'koopgedrag|NOUN|NL_894', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'Het bedrijf bestudeert het koopgedrag van consumenten om trends te identificeren.'}	{'item_ID': 'biljart|NOUN|NL_427', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'We spelen vaak biljart in het café.'}
{'item_ID': 'advocaat|NOUN|NL_220-NL_221', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1-A2', 'sentence_text': 'Mijn broer is advocaat.'}	{'item_ID': 'aanbedene|NOUN|NL_603', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'De dichter schreef een gedicht voor zijn aanbedene.'}	{'item_ID': 'inspiratie|NOUN|NL_437', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'Ik krijg vaak inspiratie als ik in de natuur ben.'}	{'item_ID': 'bedrijfswereld|NOUN|NL_844', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'De bedrijfswereld is voortdurend in beweging, wat nieuwe uitdagingen met zich meebrengt.'}
{'item_ID': 'proefpersoon|NOUN|NL_619', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'De proefpersoon vulde een gedetailleerde vragenlijst in over zijn ervaringen tijdens de studie.'}	{'item_ID': 'avonduur|NOUN|NL_654', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'Tijdens de avonduur verzamelden de vrienden zich voor een laatste drankje.'}	{'item_ID': 'inspiratie|NOUN|NL_438', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'Hij haalt veel inspiratie uit de natuur.'}	{'item_ID': 'rijgedrag|NOUN|NL_803', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'Zijn rijgedrag op de snelweg was gevaarlijk.'}
{'item_ID': 'hengel|NOUN|NL_447', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'De visser hield zijn hengel stevig vast.'}	{'item_ID': 'fietsstad|NOUN|NL_687', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'Utrecht is een echte fietsstad.'}	{'item_ID': 'moeras|NOUN|NL_226', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'In het moeras leven veel dieren.'}	{'item_ID': 'wereldorde|NOUN|NL_823', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'De opkomst van nieuwe machten beïnvloedt de wereldorde.'}
{'item_ID': 'inspiratie|NOUN|NL_436', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A2', 'sentence_text': 'Ik krijg veel inspiratie van de natuur.'}	{'item_ID': 'fruit|NOUN|NL_99', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'Het dagelijks eten van fruit draagt bij aan een gezonde levensstijl.'}	{'item_ID': 'honger|NOUN|NL_83', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Na een lange wandeling had hij enorme honger.'}	{'item_ID': 'hond|NOUN|NL_48', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'De hond blaft als er iemand aan de deur komt.'}
{'item_ID': 'informatie|NOUN|NL_31', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Ik zoek informatie over de stad.'}	{'item_ID': 'discretie|NOUN|NL_863', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'Hij vroeg om discretie over de gevoelige informatie.'}	{'item_ID': 'bemiddelaar|NOUN|NL_622', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'De bemiddelaar probeerde een compromis te vinden.'}	{'item_ID': 'computerforum|NOUN|NL_673', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'Ik heb mijn vraag over de software op een computerforum gesteld.'}
{'item_ID': 'positie|NOUN|NL_402', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'Ze heeft een goede positie bij het bedrijf.'}	{'item_ID': 'onderjurk|NOUN|NL_278', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'Ze droeg een onderjurk onder haar lichte zomerjurk.'}	{'item_ID': 'kwart|NOUN|NL_93', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Een kwart van de studenten komt uit het buitenland.'}	{'item_ID': 'positie|NOUN|NL_403', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'Zijn nieuwe positie in het bedrijf geeft hem meer kansen.'}
