word_entry	word_level_CEFRLex	sentence_level_generated	sentence_ID	sentence_text
caso|NOUN	A1	A1	ES_0	En este caso, sí.
caso|NOUN	A1	A2	ES_1	En este caso, la tienda está cerrada.
caso|NOUN	A1	B1	ES_2	En este caso, necesitamos más información.
caso|NOUN	A1	B2	ES_3	Necesitamos analizar este caso con más detalle.
caso|NOUN	A1	C1	ES_4	La empresa presentó un caso sólido para justificar la inversión en nuevas tecnologías.
cambio|NOUN	A1	A1	ES_5	Tengo cambio para el autobús.
cambio|NOUN	A1	A2	ES_6	Necesito un cambio de ropa.
cambio|NOUN	A1	B1	ES_7	Hubo un cambio en el plan.
cambio|NOUN	A1	B2	ES_8	El cambio climático es un tema importante en las noticias.
cambio|NOUN	A1	C1	ES_9	El cambio climático es uno de los mayores desafíos de nuestra era.
aspecto|NOUN	A1	A1	ES_10	La casa tiene un aspecto moderno.
aspecto|NOUN	A1	A2	ES_11	El aspecto de la ciudad es muy bonito.
aspecto|NOUN	A1	B1	ES_12	Su aspecto es muy diferente ahora.
aspecto|NOUN	A1	B2	ES_13	Es importante considerar todos los aspectos antes de tomar una decisión.
aspecto|NOUN	A1	C1	ES_14	El aspecto más desafiante de la investigación fue la recolección de datos.
luz|NOUN	A1	A1	ES_15	La luz es blanca.
luz|NOUN	A1	A2	ES_16	Enciendo la luz cuando está oscuro.
luz|NOUN	A1	B1	ES_17	Necesitamos más luz en esta habitación.
luz|NOUN	A1	B2	ES_18	El edificio tiene mucha luz natural gracias a sus grandes ventanas.
luz|NOUN	A1	C1	ES_19	El nuevo descubrimiento arroja luz sobre los orígenes de la enfermedad.
objetivo|NOUN	A1	A1	ES_20	Mi objetivo es aprender español.
objetivo|NOUN	A1	A2	ES_21	Mi objetivo es terminar el trabajo hoy.
objetivo|NOUN	A1	B1	ES_22	Mi objetivo es terminar este libro antes del domingo.
objetivo|NOUN	A1	B2	ES_23	Nuestro principal objetivo es terminar el proyecto a tiempo.
objetivo|NOUN	A1	C1	ES_24	Nuestro objetivo principal es reducir las emisiones de carbono.
importancia|NOUN	A1	A1	ES_25	N/A
importancia|NOUN	A1	A2	ES_26	La salud tiene mucha importancia.
importancia|NOUN	A1	B1	ES_27	La educación tiene mucha importancia en la vida.
importancia|NOUN	A1	B2	ES_28	La educación tiene gran importancia para el futuro.
importancia|NOUN	A1	C1	ES_29	La importancia de la investigación científica en el desarrollo humano es innegable.
copa|NOUN	A1	A1	ES_30	La copa está en la mesa.
copa|NOUN	A1	A2	ES_31	Quiero una copa de agua, por favor.
copa|NOUN	A1	B1	ES_32	Ella levantó su copa para brindar.
copa|NOUN	A1	B2	ES_33	Ganaron la copa del torneo.
copa|NOUN	A1	C1	ES_34	El equipo celebró con euforia la victoria en la copa nacional.
producción|NOUN	A1	A1	ES_35	La producción de leche es mucha.
producción|NOUN	A1	A2	ES_36	La producción de la fábrica es grande.
producción|NOUN	A1	B1	ES_37	La producción de la fábrica es muy alta este mes.
producción|NOUN	A1	B2	ES_38	La producción de la fábrica aumentó el mes pasado.
producción|NOUN	A1	C1	ES_39	La producción literaria de la autora se caracteriza por su estilo innovador.
técnica|NOUN	A1	A1	ES_40	N/A
técnica|NOUN	A1	A2	ES_41	Esta técnica es difícil.
técnica|NOUN	A1	B1	ES_42	Aprendimos una nueva técnica en la clase de arte.
técnica|NOUN	A1	B2	ES_43	Para pintar bien, se necesita una buena técnica.
técnica|NOUN	A1	C1	ES_44	La técnica que emplearon para la restauración del cuadro era innovadora y muy efectiva.
vuelo|NOUN	A1	A1	ES_45	El vuelo sale a las diez.
vuelo|NOUN	A1	A2	ES_46	El vuelo a Madrid sale pronto.
vuelo|NOUN	A1	B1	ES_47	El vuelo a Londres sale en dos horas.
vuelo|NOUN	A1	B2	ES_48	El vuelo a París se retrasó dos horas.
vuelo|NOUN	A1	C1	ES_49	El ensayo final de la obra mostró un vuelo artístico que sorprendió a todos.
oro|NOUN	A1	A1	ES_50	El anillo es de oro.
oro|NOUN	A1	A2	ES_51	El anillo es de oro.
oro|NOUN	A1	B1	ES_52	Ella lleva un collar de oro.
oro|NOUN	A1	B2	ES_53	La medalla de oro fue entregada al atleta ganador.
oro|NOUN	A1	C1	ES_54	El oro, como metal precioso, ha sido siempre un símbolo de riqueza y poder.
costumbre|NOUN	A1	A1	ES_55	Es mi costumbre beber café por la mañana.
costumbre|NOUN	A1	A2	ES_56	Es mi costumbre leer antes de dormir.
costumbre|NOUN	A1	B1	ES_57	Es mi costumbre tomar café por la mañana.
costumbre|NOUN	A1	B2	ES_58	Es una costumbre antigua en este pueblo.
costumbre|NOUN	A1	C1	ES_59	La antigua costumbre de la siesta persiste en muchas regiones, a pesar de los cambios modernos.
desierto|NOUN	A1	A1	ES_60	El camello vive en el desierto.
desierto|NOUN	A1	A2	ES_61	El desierto tiene mucha arena.
desierto|NOUN	A1	B1	ES_62	En el desierto hace mucho calor durante el día.
desierto|NOUN	A1	B2	ES_63	Cruzamos el desierto en coche para llegar al otro lado.
desierto|NOUN	A1	C1	ES_64	La vida en el desierto requiere una adaptación extrema a las condiciones áridas.
volcán|NOUN	A1	A1	ES_65	El volcán es grande.
volcán|NOUN	A1	A2	ES_66	El volcán es muy grande.
volcán|NOUN	A1	B1	ES_67	Hay un volcán en la isla.
volcán|NOUN	A1	B2	ES_68	El volcán Popocatépetl es muy famoso en México.
volcán|NOUN	A1	C1	ES_69	Los geólogos monitorean constantemente el volcán, cuya actividad sísmica ha aumentado ligeramente.
cristal|NOUN	A1	A1	ES_70	El vaso es de cristal.
cristal|NOUN	A1	A2	ES_71	El vaso es de cristal.
cristal|NOUN	A1	B1	ES_72	Limpié el cristal de la ventana.
cristal|NOUN	A1	B2	ES_73	La mesa de centro es de cristal.
cristal|NOUN	A1	C1	ES_74	La metáfora del cristal roto a menudo representa la fragilidad de las relaciones humanas.
gastronomía|NOUN	A1	A1	ES_75	N/A
gastronomía|NOUN	A1	A2	ES_76	N/A
gastronomía|NOUN	A1	B1	ES_77	Me encanta la gastronomía italiana.
gastronomía|NOUN	A1	B2	ES_78	La gastronomía de esta región es muy famosa.
gastronomía|NOUN	A1	C1	ES_79	La gastronomía de la región se distingue por la fusión de influencias indígenas y coloniales.
tontería|NOUN	A1	A1	ES_80	Eso es una tontería.
tontería|NOUN	A1	A2	ES_81	No digas tonterías.
tontería|NOUN	A1	B1	ES_82	Lo que dijo fue una tontería.
tontería|NOUN	A1	B2	ES_83	Lo que dijo sobre el proyecto fue una tontería.
tontería|NOUN	A1	C1	ES_84	Deja de decir tonterías y concéntrate en lo importante.
marisco|NOUN	A1	A1	ES_85	Me gusta el marisco.
marisco|NOUN	A1	A2	ES_86	Me gusta comer marisco en la playa.
marisco|NOUN	A1	B1	ES_87	A mi padre le encanta el marisco.
