item_1	item_2	item_3	item_4
{'item_ID': 'buljongtärning|NOUN|SV_663', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'Hon smulade en buljongtärning i grytan.'}	{'item_ID': 'föremål|NOUN|SV_239', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'Museet hade många intressanta föremål utställda.'}	{'item_ID': 'rygg|NOUN|SV_220-SV_222', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1-B1', 'sentence_text': 'Jag har ont i ryggen.'}	{'item_ID': 'cykla|VERB|SV_341', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'Jag gillar att cykla på sommaren.'}
{'item_ID': 'analys|NOUN|SV_607', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'Lärarna gjorde en analys av elevernas resultat.'}	{'item_ID': 'tycka|VERB|SV_114', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'Jag tycker att det är viktigt att vi tar hänsyn till alla perspektiv innan vi fattar ett beslut.'}	{'item_ID': 'resa|VERB|SV_173', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Jag vill resa till ett varmt land i vinter.'}	{'item_ID': 'fly|VERB|SV_517', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'De var tvungna att fly landet snabbt.'}
{'item_ID': 'köpa|VERB|SV_134', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'Många experter vägrar köpa regeringens argument om effekterna av de nya reformerna.'}	{'item_ID': 'havsvik|NOUN|SV_681', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'A2', 'sentence_text': 'Vi simmade i en vacker havsvik.'}	{'item_ID': 'barnkammare|NOUN|SV_831', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'A2', 'sentence_text': 'Barnkammaren är ljus och fin.'}	{'item_ID': 'intressera|VERB|SV_195', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Musik intresserar mig.'}
{'item_ID': 'drivmedel|NOUN|SV_669', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'Den nya bilmodellen kan köras på flera olika typer av drivmedel.'}	{'item_ID': 'sitta|VERB|SV_124', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'Många fördomar sitter djupt rotade i samhället.'}	{'item_ID': 'gästa|VERB|SV_997', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'En känd artist ska gästa vår stad nästa månad.'}	{'item_ID': 'älg|NOUN|SV_218', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'Vi såg en stor älg i skogen igår.'}
{'item_ID': 'gästa|VERB|SV_998', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'Artisten kommer att gästa staden i sommar.'}	{'item_ID': 'skuld|NOUN|SV_234', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'Han kände en djup skuld över att ha glömt sin väns födelsedag.'}	{'item_ID': 'tvinga|VERB|SV_301', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'De tvingade honom att stanna.'}	{'item_ID': 'avläsa|VERB|SV_948', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'Han försökte avläsa hennes ansiktsuttryck.'}
{'item_ID': 'matematik|NOUN|SV_262', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'Matematik är ett viktigt ämne i skolan.'}	{'item_ID': 'drömmeri|NOUN|SV_854', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'Hon sjönk in i ett tyst drömmeri.'}	{'item_ID': 'besvara|VERB|SV_722', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'Hon måste besvara e-postmeddelandet före lunch.'}	{'item_ID': 'djup|NOUN|SV_677', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'Hon mätte djupet i poolen.'}
{'item_ID': 'förälder|NOUN|SV_14', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'En förälder spelar en avgörande roll i barnets utveckling.'}	{'item_ID': 'cykla|VERB|SV_344', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'Att cykla i motvind kan vara ansträngande, men man vänjer sig.'}	{'item_ID': 'dingla|VERB|SV_962', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'Barnets ben dinglade från stolen.'}	{'item_ID': 'översätta|VERB|SV_501', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A2', 'sentence_text': 'Kan du översätta den här meningen?'}
{'item_ID': 'heta|VERB|SV_153', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Det heter att man ska vara försiktig när man kör på vintern.'}	{'item_ID': 'köpa|VERB|SV_133', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Hon planerar att köpa en större lägenhet nästa år.'}	{'item_ID': 'förgäta|VERB|SV_979', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'Man får aldrig förgäta sin historia.'}	{'item_ID': 'dam|NOUN|SV_214', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'En äldre dam frågade om vägen till biblioteket.'}
{'item_ID': 'läderhandel|NOUN|SV_696', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'A2', 'sentence_text': 'Jag köpte nya skor i läderhandeln.'}	{'item_ID': 'misslyckas|VERB|SV_777', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'Jag vill inte misslyckas med provet.'}	{'item_ID': 'barnpiga|NOUN|SV_838', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'Vi anlitade en barnpiga för att ta hand om barnen på kvällen.'}	{'item_ID': 'darra|VERB|SV_710', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'A1', 'sentence_text': 'Jag darrar.'}
{'item_ID': 'gryning|NOUN|SV_818', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'Vi vaknade tidigt i gryningen för att se solen gå upp.'}	{'item_ID': 'son|NOUN|SV_32', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'Min son spelar fotboll varje helg.'}	{'item_ID': 'möta|VERB|SV_191', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Jag vill möta min vän i centrum.'}	{'item_ID': 'fabrik|NOUN|SV_91', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Jag arbetar i en stor fabrik.'}
