word_entry	word_level_CEFRLex	sentence_level_generated	sentence_ID	sentence_text
vrouw|NOUN	A1	A1	NL_0	De vrouw is hier.
vrouw|NOUN	A1	A2	NL_1	De vrouw koopt brood.
vrouw|NOUN	A1	B1	NL_2	De vrouw leest een boek in de tuin.
vrouw|NOUN	A1	B2	NL_3	De vrouw die ik op het feest ontmoette, was erg aardig.
vrouw|NOUN	A1	C1	NL_4	De vrouw nam de leiding in het project, ondanks haar beperkte ervaring in die specifieke sector.
jaar|NOUN	A1	A1	NL_5	Ik ben tien jaar.
jaar|NOUN	A1	A2	NL_6	Ik ben twintig jaar oud.
jaar|NOUN	A1	B1	NL_7	Mijn dochter begint volgend jaar met school.
jaar|NOUN	A1	B2	NL_8	Na een jaar in het buitenland gewoond te hebben, keerde ze terug naar huis.
jaar|NOUN	A1	C1	NL_9	De beleidsmakers hoopten dat dit jaar een keerpunt zou markeren in de strijd tegen klimaatverandering.
brief|NOUN	A1	A1	NL_10	Ik schrijf een brief.
brief|NOUN	A1	A2	NL_11	Ik heb een brief voor jou.
brief|NOUN	A1	B1	NL_12	Ze leest de brief van haar vriendin.
brief|NOUN	A1	B2	NL_13	Ik heb gisteren een belangrijke brief ontvangen.
brief|NOUN	A1	C1	NL_14	Ik heb een belangrijke brief van de advocaat ontvangen.
meneer|NOUN	A1	A1	NL_15	Goedendag, meneer.
meneer|NOUN	A1	A2	NL_16	Goedemorgen, meneer!
meneer|NOUN	A1	B1	NL_17	De meneer vroeg naar de weg.
meneer|NOUN	A1	B2	NL_18	De meneer hielp ons de weg vinden.
meneer|NOUN	A1	C1	NL_19	De meneer die de lezing gaf, benadrukte het belang van kritisch denken.
avond|NOUN	A1	A1	NL_20	Het is een mooie avond.
avond|NOUN	A1	A2	NL_21	Het is een mooie avond.
avond|NOUN	A1	B1	NL_22	Ik lees vaak een boek in de avond.
avond|NOUN	A1	B2	NL_23	Morgenavond gaan we naar de bioscoop.
avond|NOUN	A1	C1	NL_24	De avond viel onverwacht snel, waardoor de geplande buitenactiviteiten moesten worden aangepast.
zee|NOUN	A1	A1	NL_25	De zee is blauw.
zee|NOUN	A1	A2	NL_26	We gaan vaak naar de zee.
zee|NOUN	A1	B1	NL_27	We gaan vaak naar de zee om te zwemmen.
zee|NOUN	A1	B2	NL_28	We gingen naar de zee om te zwemmen.
zee|NOUN	A1	C1	NL_29	Vanaf het balkon hadden we een adembenemend uitzicht over de uitgestrekte zee.
informatie|NOUN	A1	A1	NL_30	Ik heb de informatie.
informatie|NOUN	A1	A2	NL_31	Ik zoek informatie over de stad.
informatie|NOUN	A1	B1	NL_32	De website geeft veel informatie over de stad.
informatie|NOUN	A1	B2	NL_33	De website biedt veel nuttige informatie over dit onderwerp.
informatie|NOUN	A1	C1	NL_34	De website biedt uitgebreide informatie over de geschiedenis van de stad.
trein|NOUN	A1	A1	NL_35	Ik ga met de trein.
trein|NOUN	A1	A2	NL_36	Ik ga met de trein naar Amsterdam.
trein|NOUN	A1	B1	NL_37	De trein komt over vijf minuten aan.
trein|NOUN	A1	B2	NL_38	Ik reis vaak met de trein, omdat het sneller is dan de auto.
trein|NOUN	A1	C1	NL_39	De frequentie van de treinverbinding is recentelijk verhoogd om aan de groeiende vraag te voldoen.
bedrijf|NOUN	A1	A1	NL_40	Hij werkt bij een bedrijf.
bedrijf|NOUN	A1	A2	NL_41	Mijn vader werkt bij een groot bedrijf.
bedrijf|NOUN	A1	B1	NL_42	Mijn broer werkt bij een groot bedrijf.
bedrijf|NOUN	A1	B2	NL_43	Het bedrijf zoekt nieuwe manieren om duurzamer te worden.
bedrijf|NOUN	A1	C1	NL_44	Het bedrijf heeft besloten de productielijn te moderniseren om efficiënter te werken.
hond|NOUN	A1	A1	NL_45	Ik heb een hond.
hond|NOUN	A1	A2	NL_46	De hond rent snel in het park.
hond|NOUN	A1	B1	NL_47	De hond speelt graag in de tuin.
hond|NOUN	A1	B2	NL_48	De hond blaft als er iemand aan de deur komt.
hond|NOUN	A1	C1	NL_49	De trouw van een hond aan zijn baasje is vaak hartverwarmend.
krant|NOUN	A1	A1	NL_50	Ik lees de krant.
krant|NOUN	A1	A2	NL_51	Ik lees de krant elke ochtend.
krant|NOUN	A1	B1	NL_52	Ik lees elke ochtend de krant bij het ontbijt.
krant|NOUN	A1	B2	NL_53	Ik lees elke ochtend de krant om op de hoogte te blijven.
