item_1	item_2	item_3	item_4
{'item_ID': 'streven|VERB|NL_518', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'We streven naar een duurzamere samenleving.'}	{'item_ID': 'schrijven|VERB|NL_140-NL_141', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1-A2', 'sentence_text': 'Ik schrijf een brief.'}	{'item_ID': 'manipuleren|VERB|NL_909', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'Hij probeerde de cijfers te manipuleren om een beter resultaat te laten zien.'}	{'item_ID': 'offeren|VERB|NL_914', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'De soldaten waren bereid hun leven te offeren voor hun land.'}
{'item_ID': 'behelpen|VERB|NL_753', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'We moeten ons met weinig middelen behelpen.'}	{'item_ID': 'opgroeien|VERB|NL_378', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'Mijn neefjes en nichtjes groeien op in de stad.'}	{'item_ID': 'binnenkrijgen|VERB|NL_579', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'Het is essentieel om voldoende eiwitten binnen te krijgen na het sporten.'}	{'item_ID': 'noteren|VERB|NL_529', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'De onderzoeker besloot de meest opvallende observaties onmiddellijk te noteren.'}
{'item_ID': 'noteren|VERB|NL_528', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'De journalist wilde alle belangrijke details noteren tijdens het interview.'}	{'item_ID': 'kopen|VERB|NL_175', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Ik wil een appel kopen.'}	{'item_ID': 'delen|VERB|NL_325', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'Ik deel mijn brood.'}	{'item_ID': 'opgroeien|VERB|NL_379', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'Kinderen hebben een veilige omgeving nodig om goed op te groeien.'}
{'item_ID': 'aanreiken|VERB|NL_748', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'De docent probeerde de studenten praktische tips aan te reiken.'}	{'item_ID': 'langsgaan|VERB|NL_587', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'Ik wil morgen bij mijn vriend langsgaan.'}	{'item_ID': 'schreeuwen|VERB|NL_195', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'De jongen schreeuwt.'}	{'item_ID': 'dwepen|VERB|NL_724', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'Zij dweepte met de nieuwe kunstenaar, zelfs voordat zijn werk bekend werd.'}
{'item_ID': 'bijvoegen|VERB|NL_762', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'Ik zal de foto bijvoegen bij mijn e-mail.'}	{'item_ID': 'waarborgen|VERB|NL_734', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'De regering moet de rechten van haar burgers waarborgen.'}	{'item_ID': 'doorweken|VERB|NL_582', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'De regen doorweekte zijn kleding volledig.'}	{'item_ID': 'lukken|VERB|NL_317', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'Het is me gelukt om de taart te bakken.'}
{'item_ID': 'langsgaan|VERB|NL_586', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A2', 'sentence_text': 'Ik zal morgen bij de bakker langsgaan.'}	{'item_ID': 'opgroeien|VERB|NL_377', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'Ze is opgegroeid in een klein dorp.'}	{'item_ID': 'manipuleren|VERB|NL_907', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'Het is verkeerd om mensen te manipuleren.'}	{'item_ID': 'stampen|VERB|NL_362', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'Ik ga de aardappelen stampen voor het avondeten.'}
{'item_ID': 'spelen|VERB|NL_172', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'De kinderen spelen graag buiten als het zonnig is.'}	{'item_ID': 'afschilderen|VERB|NL_923', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'De film probeerde de hoofdpersoon als een held af te schilderen.'}	{'item_ID': 'lozen|VERB|NL_972', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'Je mag hier geen afval lozen.'}	{'item_ID': 'noemen|VERB|NL_183', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Kun je de belangrijkste punten van het rapport noemen?'}
{'item_ID': 'assisteren|VERB|NL_933', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'De stagiair zal de projectmanager assisteren bij de presentatie volgende week.'}	{'item_ID': 'bestraffen|VERB|NL_943', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'De rechter zal de dader bestraffen voor zijn misdaad.'}	{'item_ID': 'ruilen|VERB|NL_394', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'Soms moet je gemak ruilen voor efficiëntie om betere resultaten te behalen.'}	{'item_ID': 'kijken|VERB|NL_115', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Ik kijk televisie.'}
{'item_ID': 'paren|VERB|NL_384', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'Om optimale resultaten te behalen, besloten ze de twee datasets zorgvuldig te paren.'}	{'item_ID': 'verdedigen|VERB|NL_342', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'De advocaat zal zijn cliënt verdedigen.'}	{'item_ID': 'drinken|VERB|NL_164', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'De gewoonte om elke avond een kop thee te drinken, helpt haar ontspannen.'}	{'item_ID': 'binnenvallen|VERB|NL_952', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'Mijn vrienden willen vanavond even binnenvallen.'}
{'item_ID': 'afschilderen|VERB|NL_922', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'Hij probeert zijn vriend als een grappig persoon af te schilderen.'}	{'item_ID': 'liggen|VERB|NL_135', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Het boek ligt op tafel.'}	{'item_ID': 'komen|VERB|NL_108', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Zou je me kunnen vertellen wanneer je verwacht te komen?'}	{'item_ID': 'opstappen|VERB|NL_590', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A1', 'sentence_text': 'Ik stap op de bus.'}
