item_1	item_2	item_3	item_4
{'item_ID': 'middenweg|NOUN|NL_633', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'Ze vonden een middenweg die voor iedereen acceptabel was.'}	{'item_ID': 'vervangen|VERB|NL_504', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'De directie besloot de verouderde machines te vervangen door modernere apparatuur.'}	{'item_ID': 'boodschap|NOUN|NL_75', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Ik heb een boodschap voor jou.'}	{'item_ID': 'bron|NOUN|NL_204', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'De krant vermeldde niet de bron van de informatie.'}
{'item_ID': 'respecteren|VERB|NL_512-NL_513', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1-B2', 'sentence_text': 'We moeten elkaars mening respecteren.'}	{'item_ID': 'kiepen|VERB|NL_976', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'A2', 'sentence_text': 'De kar kan kiepen als hij te vol is.'}	{'item_ID': 'bouwen|VERB|NL_307', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'Ze zijn een nieuw huis aan het bouwen.'}	{'item_ID': 'bariton|NOUN|NL_452', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'De bariton zong een prachtig lied.'}
{'item_ID': 'noteren|VERB|NL_529', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'De onderzoeker besloot de meest opvallende observaties onmiddellijk te noteren.'}	{'item_ID': 'offeren|VERB|NL_912', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'De soldaat offerde zijn leven voor zijn land.'}	{'item_ID': 'herverdeling|NOUN|NL_817', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'De herverdeling van de taken is belangrijk.'}	{'item_ID': 'thee|NOUN|NL_59', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'De geur van verse muntthee vulde de kamer en creëerde een serene sfeer.'}
{'item_ID': 'dicteren|VERB|NL_774', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'De secretaresse dicteerde de notulen aan de transcriptionist.'}	{'item_ID': 'bestraffen|VERB|NL_941', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'A2', 'sentence_text': 'De rechter moet de dief bestraffen.'}	{'item_ID': 'noteren|VERB|NL_528', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'De journalist wilde alle belangrijke details noteren tijdens het interview.'}	{'item_ID': 'baren|VERB|NL_939', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'Het plan baart zorgen bij de directie.'}
{'item_ID': 'blijven|VERB|NL_134', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'Ondanks de tegenslagen bleef ze optimistisch over de toekomst van het project.'}	{'item_ID': 'uitvinding|NOUN|NL_809', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'De revolutionaire uitvinding van de printer heeft de verspreiding van kennis enorm versneld.'}	{'item_ID': 'honger|NOUN|NL_83', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Na een lange wandeling had hij enorme honger.'}	{'item_ID': 'nijpen|VERB|NL_997', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'De nieuwe schoenen nijpen aan mijn tenen.'}
{'item_ID': 'discretie|NOUN|NL_864', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'We verwachten van al onze medewerkers de grootste discretie met gevoelige informatie.'}	{'item_ID': 'onderjurk|NOUN|NL_278', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'Ze droeg een onderjurk onder haar lichte zomerjurk.'}	{'item_ID': 'betreffen|VERB|NL_338', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'Het betreft een belangrijke aankondiging voor iedereen.'}	{'item_ID': 'ondermijnen|VERB|NL_994', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'Door roddels te verspreiden, probeerde hij haar reputatie te ondermijnen.'}
{'item_ID': 'kalkoen|NOUN|NL_250', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'Ik eet kalkoen.'}	{'item_ID': 'doorbraak|NOUN|NL_469', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'Het bedrijf bereikte een doorbraak met hun innovatieve onderzoek naar schone energie.'}	{'item_ID': 'noemen|VERB|NL_180', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Ik noem de hond Max.'}	{'item_ID': 'kalkoen|NOUN|NL_251-NL_252', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2-B1', 'sentence_text': 'We eten kalkoen met Kerstmis.'}
{'item_ID': 'kijker|NOUN|NL_245', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'De kijker zit op de bank.'}	{'item_ID': 'computerforum|NOUN|NL_674', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'Ik heb veel geleerd door actief te zijn op dat computerforum.'}	{'item_ID': 'binnenkrijgen|VERB|NL_575', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A1', 'sentence_text': 'Ik wil een brief binnenkrijgen.'}	{'item_ID': 'langsgaan|VERB|NL_588', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'Ik ga morgen langs bij mijn vriendin.'}
{'item_ID': 'graffitikunstenaar|NOUN|NL_887', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'De graffitikunstenaar werkt aan een nieuw kunstwerk.'}	{'item_ID': 'zeeniveau|NOUN|NL_430', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A1', 'sentence_text': 'Nederland ligt onder zeeniveau.'}	{'item_ID': 'biodiversiteit|NOUN|NL_848', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'De bescherming van biodiversiteit is essentieel voor een gezonde planeet.'}	{'item_ID': 'bil|NOUN|NL_270', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'Ik heb pijn aan mijn bil.'}
{'item_ID': 'informatie|NOUN|NL_31', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Ik zoek informatie over de stad.'}	{'item_ID': 'bestelling|NOUN|NL_299', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'De bestelling van de nieuwe computers is vertraagd door problemen met de leverancier.'}	{'item_ID': 'lozen|VERB|NL_973', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'De tanker moest zijn olie in de haven lozen.'}	{'item_ID': 'toneel|NOUN|NL_231', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'De acteurs staan op het toneel.'}
{'item_ID': 'geldkoffer|NOUN|NL_877', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'Hij opende de geldkoffer en telde het geld.'}	{'item_ID': 'dichtslibben|VERB|NL_727', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'De afvoer in de keuken kan snel dichtslibben.'}	{'item_ID': 'biljart|NOUN|NL_429', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'De gepassioneerde speler bracht uren door aan het biljart, perfectionerend zijn techniek.'}	{'item_ID': 'thee|NOUN|NL_55', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Ik drink thee.'}
