item_1	item_2	item_3	item_4
{'item_ID': 'trust|VERB|EN_327', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'I trust my friends to tell me the truth.'}	{'item_ID': 'struggle|VERB|EN_356', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'I struggle to understand this.'}	{'item_ID': 'listen|VERB|EN_136', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'I like to listen to music.'}	{'item_ID': 'feel|VERB|EN_118', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'I feel like going to the cinema tonight.'}
{'item_ID': 'stick|VERB|EN_501', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A2', 'sentence_text': 'Please stick the note on the fridge.'}	{'item_ID': 'suit|VERB|EN_530', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A1', 'sentence_text': 'Does 7 PM suit you?'}	{'item_ID': 'curse|VERB|EN_742', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'He started to curse when he realized he had lost his keys.'}	{'item_ID': 'combat|VERB|EN_959', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'The organization works to combat poverty in developing nations.'}
{'item_ID': 'approach|VERB|EN_335', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'The dog approached the girl.'}	"{'item_ID': 'poke|VERB|EN_980', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'A1', 'sentence_text': ""Don't poke the cat.""}"	{'item_ID': 'travel|VERB|EN_161', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'I like to travel to new places.'}	{'item_ID': 'answer|VERB|EN_144', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'She decided to answer all the difficult questions with complete honesty, even if it meant admitting some mistakes.'}
{'item_ID': 'straighten|VERB|EN_926', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'A2', 'sentence_text': 'Please straighten the picture.'}	{'item_ID': 'scan|VERB|EN_585', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A1', 'sentence_text': 'I scan the list.'}	{'item_ID': 'trust|VERB|EN_325', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'I trust you.'}	{'item_ID': 'place|VERB|EN_321', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'Please place the book on the shelf.'}
{'item_ID': 'vary|VERB|EN_714', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'The methods used to achieve these results may vary considerably.'}	"{'item_ID': 'read|VERB|EN_129', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': ""Having read extensively on the subject, he felt confident challenging the professor's assertion.""}"	{'item_ID': 'invest|VERB|EN_539', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'They plan to invest a lot of money in the company.'}	{'item_ID': 'lack|VERB|EN_739', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'Many developing countries lack access to clean drinking water.'}
{'item_ID': 'know|VERB|EN_104', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'The manager hoped his team would know how to adapt to the unexpected changes.'}	{'item_ID': 'drum|VERB|EN_960', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'A1', 'sentence_text': 'He drums on the table.'}	{'item_ID': 'stack|VERB|EN_998', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'We stacked the chairs after the meeting.'}	{'item_ID': 'integrate|VERB|EN_974', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'The company hopes to integrate the new software with their existing systems.'}
{'item_ID': 'hook|VERB|EN_795', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'A1', 'sentence_text': 'He hooks the fish.'}	{'item_ID': 'price|VERB|EN_754', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'The store priced the electronics competitively.'}	{'item_ID': 'immerse|VERB|EN_913', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'She likes to immerse herself in a good book on rainy days.'}	{'item_ID': 'know|VERB|EN_101', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'I know his name.'}
{'item_ID': 'let|VERB|EN_123', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'She let her children play outside for an hour.'}	{'item_ID': 'cycle|VERB|EN_376', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'I often cycle to work.'}	{'item_ID': 'name|VERB|EN_331', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'We will name our new dog Max.'}	{'item_ID': 'cycle|VERB|EN_379', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'The project team decided to cycle through the feedback revisions twice before the final submission.'}
{'item_ID': 'achieve|VERB|EN_518', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'She worked hard to achieve her goals.'}	{'item_ID': 'trust|VERB|EN_326', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'I trust my friend.'}	{'item_ID': 'travel|VERB|EN_163', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'We plan to travel to Italy next summer.'}	{'item_ID': 'add|VERB|EN_186', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Please add sugar to my coffee.'}
{'item_ID': 'scrape|VERB|EN_900', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'A1', 'sentence_text': 'He fell and scraped his knee.'}	"{'item_ID': 'crush|VERB|EN_745', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'A1', 'sentence_text': ""Don't crush the bread.""}"	{'item_ID': 'stretch|VERB|EN_702', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'I like to stretch my arms after I wake up.'}	{'item_ID': 'squabble|VERB|EN_993', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'The siblings always squabble about who gets the last piece of cake.'}
{'item_ID': 'mix|VERB|EN_385', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'I mix the colors.'}	"{'item_ID': 'trust|VERB|EN_329', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': ""The committee decided to trust the expert's assessment of the complex situation.""}"	{'item_ID': 'assess|VERB|EN_762-EN_763', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1-B2', 'sentence_text': 'The teacher will assess our progress next week.'}	{'item_ID': 'find|VERB|EN_107', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'I need to find my phone.'}
{'item_ID': 'sink|VERB|EN_354', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'The company decided to sink a large sum into developing new AI technology.'}	{'item_ID': 'select|VERB|EN_577', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'Please select the correct answer from the list.'}	{'item_ID': 'fill|VERB|EN_184', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'The company decided to fill the newly created executive position internally.'}	{'item_ID': 'mix|VERB|EN_388', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'Please mix the ingredients for the cake.'}
{'item_ID': 'drink|VERB|EN_154', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'He found himself trying to drink in every detail of the elaborate fresco.'}	{'item_ID': 'whistle|VERB|EN_717', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'He learned to whistle when he was a child.'}	{'item_ID': 'drink|VERB|EN_152', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'I drink water every day.'}	{'item_ID': 'protect|VERB|EN_190', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'My dog protects my house.'}
{'item_ID': 'handle|VERB|EN_542', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'I can handle the new project.'}	{'item_ID': 'install|VERB|EN_909', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'The company plans to install new security cameras throughout the building next month.'}	{'item_ID': 'attract|VERB|EN_507', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'The beautiful flowers attract many bees.'}	{'item_ID': 'evolve|VERB|EN_722', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'His music style has evolved over the years.'}
{'item_ID': 'fit|VERB|EN_345', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'The shirt fits me well.'}	{'item_ID': 'punish|VERB|EN_364', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'The court decided to punish the criminal with a heavy fine.'}	{'item_ID': 'cry|VERB|EN_132', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'She started to cry when the movie ended.'}	{'item_ID': 'protect|VERB|EN_191', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'A helmet can protect your head.'}
{'item_ID': 'trust|VERB|EN_328', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B2', 'sentence_text': 'I trust my friend to keep my secret.'}	{'item_ID': 'realize|VERB|EN_306', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'I realize it is late.'}	{'item_ID': 'associate|VERB|EN_727', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'I associate that smell with summer.'}	{'item_ID': 'place|VERB|EN_320', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'Please place your books on the desk.'}
{'item_ID': 'stick|VERB|EN_504', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'The company decided to stick to its ethical principles, even if it meant lower profits.'}	{'item_ID': 'murmur|VERB|EN_917', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'He could hear the children murmur in the next room.'}	{'item_ID': 'invest|VERB|EN_536', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A2', 'sentence_text': 'I want to invest more time in reading books.'}	{'item_ID': 'approach|VERB|EN_339', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'C1', 'sentence_text': 'The team decided to approach the complex problem with a new strategy.'}
