item_1	item_2	item_3	item_4
{'item_ID': 'resolver|VERB|ES_190', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Ella puede resolver la tarea.'}	{'item_ID': 'abandonar|VERB|ES_164', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'El gobierno prometió no abandonar los planes de desarrollo urbano.'}	{'item_ID': 'armar|VERB|ES_500', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A1', 'sentence_text': 'Yo armo un rompecabezas.'}	{'item_ID': 'esbozar|VERB|ES_977', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'Ella esbozó una sonrisa cuando escuchó la noticia.'}
{'item_ID': 'tergiversar|VERB|ES_769', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'El periodista fue acusado de tergiversar la información para crear controversia.'}	{'item_ID': 'picar|VERB|ES_197', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'Nos gusta picar algo antes de la cena.'}	{'item_ID': 'distraer|VERB|ES_395', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A1', 'sentence_text': 'El ruido me distrae.'}	{'item_ID': 'defraudar|VERB|ES_712', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'No quiero defraudar a mis padres.'}
{'item_ID': 'broncear|VERB|ES_775', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'A1', 'sentence_text': 'Ella se broncea en la playa.'}	{'item_ID': 'necesitar|VERB|ES_118', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'Necesitamos discutir la propuesta antes de tomar una decisión final.'}	{'item_ID': 'acostumbrar|VERB|ES_187', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'Me estoy acostumbrando a la comida picante.'}	{'item_ID': 'remitir|VERB|ES_534', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'C1', 'sentence_text': 'La fiebre empezó a remitir después de unas horas de descanso.'}
{'item_ID': 'gritar|VERB|ES_175', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'El niño grita.'}	{'item_ID': 'omitir|VERB|ES_987', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'Ella decidió omitir algunos detalles de su historia.'}	{'item_ID': 'entrometer|VERB|ES_974', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'No debes entrometerte en asuntos ajenos sin permiso.'}	{'item_ID': 'encalar|VERB|ES_969', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'Decidieron encalar las paredes de la casa para que pareciera más luminosa.'}
{'item_ID': 'atrasar|VERB|ES_592', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'La reunión se va a atrasar un poco.'}	{'item_ID': 'afanar|VERB|ES_939', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'C1', 'sentence_text': 'Se afanó por completar la tarea antes de la fecha límite.'}	{'item_ID': 'desmesurar|VERB|ES_749', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'El entusiasmo de la multitud se desmesuró al conocer la noticia.'}	{'item_ID': 'cursar|VERB|ES_512', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'Voy a cursar mis estudios universitarios el próximo año.'}
{'item_ID': 'ascender|VERB|ES_543', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'El alpinista planea ascender a la cima de la montaña.'}	{'item_ID': 'lamentar|VERB|ES_702', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'Lamento no poder acompañarte mañana.'}	{'item_ID': 'espirar|VERB|ES_784', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'C1', 'sentence_text': 'Después de inhalar, es importante espirar con calma para relajar el cuerpo.'}	{'item_ID': 'propagar|VERB|ES_733', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B2', 'sentence_text': 'Es importante evitar que el fuego se propague.'}
{'item_ID': 'fluir|VERB|ES_566', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A2', 'sentence_text': 'El agua fluye en el río.'}	{'item_ID': 'mencionar|VERB|ES_317', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'B1', 'sentence_text': 'Ella mencionó que la reunión era a las diez.'}	{'item_ID': 'denegar|VERB|ES_908', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B2', 'sentence_text': 'El banco denegó su préstamo.'}	{'item_ID': 'encantar|VERB|ES_127', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B1', 'sentence_text': 'Me encanta pasar tiempo con mis amigos.'}
{'item_ID': 'continuar|VERB|ES_159', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'C1', 'sentence_text': 'Es esencial continuar trabajando en este proyecto a pesar de los desafíos.'}	{'item_ID': 'asignar|VERB|ES_548', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'La profesora nos asignó un ensayo para la próxima semana.'}	{'item_ID': 'descalificar|VERB|ES_598', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B2', 'sentence_text': 'El árbitro decidió descalificar al jugador por su comportamiento antideportivo.'}	{'item_ID': 'prevenir|VERB|ES_356', 'word_level_CEFRLex': 'A2', 'sentence_level_generated': 'A2', 'sentence_text': 'Lavarse las manos ayuda a prevenir enfermedades.'}
{'item_ID': 'necesitar|VERB|ES_115', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A1', 'sentence_text': 'Yo necesito agua.'}	{'item_ID': 'servir|VERB|ES_121', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Ella sirve la comida en el restaurante.'}	{'item_ID': 'descomponer|VERB|ES_571', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'A2', 'sentence_text': 'El coche se descompuso y no podemos usarlo.'}	{'item_ID': 'gritar|VERB|ES_178', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'B2', 'sentence_text': 'La multitud empezó a gritar cuando vieron al famoso actor.'}
{'item_ID': 'achacar|VERB|ES_742', 'word_level_CEFRLex': 'B2', 'sentence_level_generated': 'B1', 'sentence_text': 'Ella le achacó la demora al tráfico.'}	{'item_ID': 'inmovilizar|VERB|ES_982', 'word_level_CEFRLex': 'C1', 'sentence_level_generated': 'B1', 'sentence_text': 'El médico tuvo que inmovilizar su pierna.'}	{'item_ID': 'tocar|VERB|ES_136', 'word_level_CEFRLex': 'A1', 'sentence_level_generated': 'A2', 'sentence_text': 'Él toca el piano.'}	{'item_ID': 'percibir|VERB|ES_507', 'word_level_CEFRLex': 'B1', 'sentence_level_generated': 'B1', 'sentence_text': 'Ella percibe el aroma de las flores.'}
